Unnamed: 0,Label,PrawnID,Avg_Length,Std_Length,Uncertainty,Length_1,Length_2,Length_3,BoundingBox_1,BoundingBox_2,BoundingBox_3,Angle_1,Angle_2,Angle_3,Scale_1,Scale_2,Scale_3,Global_Uncertainty,Length_ground_truth_annotation(mm),Length_ground_truth_annotation_pixels,pred_Distance_pixels,id,Length_fov(mm),Height(mm),focal_RealLength(cm),Length_1_pixels,Length_2_pixels,Length_3_pixels,Pond_Type,Euclidean_Distance,MPError_fov_min,MPError_fov_max,MPError_fov_median,AbsError_fov_min,AbsError_fov_max,AbsError_fov_median,AbsError_focal_min,AbsError_focal_max,AbsError_focal_median,MPError_focal_min,MPError_focal_max,MPError_focal_median,Error_distance_mm_ground_min,Error_distance_mm_ground_max,Error_distance_mm_ground_median,Error_percentage_distance_mm_ground_min,Error_percentage_distance_mm_ground_max,Error_percentage_distance_mm_ground_median,pose_eval_iou,choice,mean_scale,pred_scale,std_length,mean_length,annotation_length_1,annotation_length_2,annotation_length_3,MPE_length1,MPE_length2,MPE_length3,mean_annotation_length,std_scale,mean_pixels,std_pixels,diff_pixels,diff_mm,diff_scale
621,carapace:undistorted_GX010152_36_378.jpg_gamma,Prawn_2,42.725,2.398529688510582,1.384791761320894,44.434,39.333,44.408,"(571.9991088, 1504.0051572, 37.0036926, 321.0030474)","(2682.0168258, 312.0008754, 223.0047084, 151.0039824)","(509.9984127, 1535.9962932, 73.0014282, 331.0011621)",-96.419,-145.954,-102.308,72.471,68.118,76.059,0.2942581907953586,24.54192453592182,205.2437575177383,218.3346176986788,67c74e75e5434c612975edee,26.13577137080819,415.0,26.27525169343874,322.0176414,267.9285294,337.7628072,square,218.3346176986788,33.5525605196446,41.18069187827296,41.14625434424388,13.19722862919181,18.29822862919181,18.27222862919183,13.05774830656126,18.15874830656126,18.13274830656128,33.19794652470256,40.86678738479826,40.83216606593692,14.79107546407818,19.89207546407818,19.86607546407819,37.60474783026511,44.76769020137322,44.73535278345835,0.9983590128342925,carapace_all_mean,72.216,83.5386163281728,2.9375869348838006,42.725,28.320812120398266,30.130620029616004,26.984808834948957,41.18069187827296,33.5525605196446,41.14625434424386,28.478746994987745,3.976636644200726,309.236326,36.629606965917624,90.90170830132121,16.589228629191812,11.3226163281728
748,carapace:undistorted_GX010157_160_2259,Prawn_1,37.69366666666667,1.003198329787727,0.5791968257535273,36.279,38.308,38.494,"(4856.0307005, 940.0062174999999, 161.0010255, 217.0020265)","(4878.028267199999, 954.0070649999999, 144.9988452, 241.0023132)","(4860.016389, 930.003564, 174.997524, 241.002795)",-126.529,-120.964,-125.942,74.095,73.062,77.01,0.2942581907953586,19.08734232169314,159.5305613354382,161.7591283279835,67c74e7ae5434c612975eed5,19.18682381578968,415.0,19.46673347235646,268.8092505,279.8859096,296.4422940000001,square,161.7591283279835,47.11314034072143,50.15632613968495,49.91431602853274,17.09217618421033,19.30717618421032,19.12117618421032,16.81226652764354,19.02726652764354,18.84126652764353,46.34159300874759,49.42917474838556,49.1836340389567,17.19165767830686,19.40665767830686,19.22065767830685,47.38735267870355,50.41475990623697,50.1740045899208,0.9678839095236919,carapace_all_mean,74.72233333333332,84.30740276817718,1.2286620093961267,37.693666666666665,21.53054340177316,21.834956794973884,20.71556438585095,47.113140340721415,49.91431602853274,50.156326139684936,21.360354860865996,2.047397453679512,281.71248470000006,13.906780925691596,119.95335637201657,18.506842850876986,9.58506943484386
955,carapace:undistorted_GX010175_215_2644.jpg_gamma,Prawn_0,43.782,6.524753481933244,3.767068179190107,43.036,52.12,36.19,"(3724.022442, 1224.0057585, 40.9975335, 297.0048165)","(3699.9820424, 1227.9946742, 64.998745, 372.9950266)","(3715.9796226, 1227.9938538, 36.99824580000001, 281.0010138)",82.304,80.238,82.674,69.405,72.422,78.006,0.2942581907953586,38.97951411861197,349.3565513912685,192.402859831876,67c74e78e5434c612975ee9d,21.4686947906269,385.0,21.48070053662165,298.691358,377.463464,282.303714,square,192.402859831876,40.67782594466179,58.80910439250403,50.11456736075171,14.7213052093731,30.6513052093731,21.56730520937311,14.70929946337834,30.63929946337834,21.55529946337835,40.64465173633143,58.78606957670443,50.08667037684346,2.789514118611969,13.14048588138803,4.056485881388042,7.707969379972282,25.21198365577136,9.425796731545779,0.931567383922862,carapace_all_mean,73.27766666666666,89.62019429140048,7.991158364092154,43.782000000000004,50.3359342109745,48.239009056815405,44.785856394542535,50.11456736075171,58.80910439250403,40.67782594466179,47.786933220777485,4.363877213365808,319.48617866666666,50.87399070187776,127.08331883479067,22.313305209373105,16.34252762473382
