Label,PrawnID,Pond_Type,mean_length,std_length,Length_fov(mm),mean_pixels,pred_Distance_pixels,Length_ground_truth_annotation_pixels,mean_scale,pred_scale,std_scale,Scale_1,Scale_2,Scale_3,std_pixels
carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_0,circle_female,41.918,3.100498830833514,36.46832884071002,239.62600946666666,195.2841173355428,187.683243791235,57.135,53.548962495244595,0.6557347024521442,56.613,56.921,57.871,20.439188620474397
carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_1,circle_female,26.697999999999997,2.2568803690049672,25.70501321100996,152.5228311333333,137.615608618304,128.0624847486563,57.135,53.53648624438775,0.6557347024521442,56.613,56.921,57.871,12.650918716662362
carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_2,circle_female,46.29966666666667,5.608803288878415,37.61717823748817,264.4944461,199.8858737185822,233.452350598575,57.135,53.136860095311945,0.6557347024521442,56.613,56.921,57.871,31.52144620442751
carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_3,circle_female,24.278666666666666,0.6762812531287058,22.47325100794412,138.68691246666666,119.2916808933409,145.086181285469,57.135,53.08163062441309,0.6557347024521442,56.613,56.921,57.871,2.3248541914279506
carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_0,circle_female,33.843333333333334,3.1935687456720467,27.76269923335672,183.91286333333332,148.5508595731913,162.6345596729059,54.12633333333333,53.50735471524625,3.5399836628624892,57.559,50.488,54.332,28.725410294921158
carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_1,circle_female,34.544000000000004,3.3086019706214276,30.93799664271531,187.5509677,164.6470875772384,170.6604816587605,54.12633333333333,53.21840631074164,3.5399836628624892,57.559,50.488,54.332,27.519034060403136
carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_2,circle_female,32.81366666666667,1.9586672339459146,32.10575420974607,177.1933145,170.6634738830272,169.1892431568859,54.12633333333333,53.15666243754534,3.5399836628624892,57.559,50.488,54.332,4.922703960897176
carapace:undistorted_GX010068_27_795.jpg_gamma,Prawn_1,circle_female,36.97933333333333,1.2263789517654513,34.34158348439222,192.47060573333331,182.2242100082422,175.071414000116,52.112,53.06226199239201,4.120777960531239,54.918,47.381,54.037,11.976894595207758
carapace:undistorted_GX010068_27_795.jpg_gamma,Prawn_2,circle_female,33.477666666666664,3.9899393896816684,27.29277863362137,174.49169243333333,145.374520153147,174.4276354251242,52.112,53.26482953775301,4.120777960531239,54.918,47.381,54.037,25.852858454244306
carapace:undistorted_GX010069_19_191.jpg_gamma,Prawn_0,circle_female,31.406000000000002,1.4501251670114563,31.55359232790174,177.29756193333333,170.1232426075433,156.923548264752,56.36633333333333,53.915649552557994,3.5050606747006996,58.592,52.326,58.181,18.116415068661578
carapace:undistorted_GX010069_19_191.jpg_gamma,Prawn_1,circle_female,32.74166666666667,0.3853392444760001,30.11870750364632,184.58758079999998,161.0027591730028,145.3444185374867,56.36633333333333,53.45606518922202,3.5050606747006996,58.592,52.326,58.181,12.473295580531326
carapace:undistorted_GX010069_19_191.jpg_gamma,Prawn_2,circle_female,27.465333333333334,3.670751467115872,25.15846849748295,154.00779839999998,133.6104527334977,161.9413474070165,56.36633333333333,53.10754617152676,3.5050606747006996,58.592,52.326,58.181,11.637994250891254
carapace:undistorted_GX010069_19_191.jpg_gamma,Prawn_3,circle_female,31.256666666666664,2.404093245557112,29.72049934001731,176.55449886666668,157.7233272828436,176.7766952966374,56.36633333333333,53.068868553791845,3.5050606747006996,58.592,52.326,58.181,22.17041772112197
carapace:undistorted_GX010069_53_796.jpg_gamma,Prawn_0,circle_female,42.47733333333333,4.4656401929995795,37.23625787989685,233.34495266666667,197.5915275006029,181.7278184538629,55.254,53.064281630533785,4.872380013915174,59.481,49.925,56.356,10.063726222244506
carapace:undistorted_GX010069_53_796.jpg_gamma,Prawn_1,circle_female,36.943333333333335,1.1636538717906357,38.46400526751545,204.33269213333332,204.8633128072776,190.0657780874821,55.254,53.26104532860329,4.872380013915174,59.481,49.925,56.356,22.368985594706846
