Label,PrawnID,Avg_Length,Std_Length,Uncertainty,Length_1,Length_2,Length_3,BoundingBox_1,BoundingBox_2,BoundingBox_3,Angle_1,Angle_2,Angle_3,Scale_1,Scale_2,Scale_3,Global_Uncertainty,Length_ground_truth_annotation(mm),Length_ground_truth_annotation_pixels,pred_Distance_pixels,id,Length_fov(mm),Height(mm),focal_RealLength(cm),Length_1_pixels,Length_2_pixels,Length_3_pixels,Pond_Type,Euclidean_Distance,MPError_fov_min,MPError_fov_max,MPError_fov_median,AbsError_fov_min,AbsError_fov_max,AbsError_fov_median,AbsError_focal_min,AbsError_focal_max,AbsError_focal_median,MPError_focal_min,MPError_focal_max,MPError_focal_median,Error_distance_mm_ground_min,Error_distance_mm_ground_max,Error_distance_mm_ground_median,Error_percentage_distance_mm_ground_min,Error_percentage_distance_mm_ground_max,Error_percentage_distance_mm_ground_median,pose_eval_iou,choice,mean_scale,pred_scale,std_length,mean_length,annotation_length_1,annotation_length_2,annotation_length_3,MPE_length1,MPE_length2,MPE_length3,mean_annotation_length,mean_pixels,diff_pixels,diff_mm,diff_scale
full body:undistorted_GX010089_11_236.jpg_gamma,Prawn_0,73.087,3.146761615799114,1.8167836659572,74.233,68.79,76.238,"(1879.99171, 899.9949980000001, 264.9981780000001, 333.000492)","(1883.9874402, 903.9921003000001, 252.9967608, 320.9946732)","(1892.0134857, 896.0029798999999, 261.0031927, 341.0013534)",-51.509,-51.78,-52.595,57.14,59.211,56.143,1.230960202536279,90.52702039528705,451.5927644212758,475.1912613895698,689b6763d1021f56f0d3cab2,111.0816275353439,700.0,96.45898187932093,424.167362,407.312469,428.0230034,circle_male,475.1912613895698,61.47932480788475,45.70375342394073,49.6391463841471,42.29162753534392,34.84362753534393,36.84862753534392,27.66898187932092,20.22098187932093,22.22598187932093,40.22238970681919,26.52349468679783,29.94083747029074,21.73702039528705,14.28902039528705,16.29402039528705,31.59909928083594,18.74264854178632,21.94983416443771,0.9925062423001486,body_all_mean,57.498,42.778564910599066,3.853980150441875,73.087,79.03268540799365,76.26839006625049,80.4361655809764,49.63914638414707,61.47932480788471,45.70375342394068,78.57908035174019,419.8342781333334,55.35698325623639,37.994627535343895,14.719435089400932
full body:undistorted_GX010102_50_1396.jpg_gamma,Prawn_0,132.286,4.229653492505821,2.441991582477077,135.607,134.934,126.317,"(3762.01136, 570.001088, 445.001216, 553.002192)","(3760.0138542, 536.000366, 489.0015432, 593.000511)","(3752.010043199999, 560.002353, 453.002823, 565.0032936)",51.189,50.5,51.291,52.24,56.858,57.219,1.230960202536279,149.6710025273291,687.9780189515432,677.8327479252766,689b6763d1021f56f0d3ca6a,171.96380625623,760.0,149.3868354162005,708.410968,767.2077372,722.7732423,circle_male,677.8327479252766,36.13670864272429,26.81042000503664,27.44290264590841,45.64680625623005,36.35680625623004,37.02980625623005,23.06983541620055,13.77983541620054,14.45283541620054,18.26344467981392,10.16159594725976,10.71104052069941,23.35400252732914,14.06400252732914,14.73700252732914,18.48840815355743,10.37114789600031,10.92163763568051,0.9998341377185946,body_all_mean,55.439,39.417175199954016,5.180246422710027,132.286,131.69563915611468,120.99933500150256,120.23593892789863,26.810420005036605,27.44290264590836,36.13670864272425,124.31030436183863,732.7973158333334,54.96456790805678,39.677806256229985,16.021824800045984
full body:undistorted_GX010105_28_816.jpg_gamma,Prawn_1,95.68866666666668,5.654149646252939,3.264424820302561,94.837,89.229,103.0,"(3871.9736901, 267.9974118, 392.9983956, 380.9956761000001)","(3863.974428, 255.9968464, 400.9990696, 380.9964176)","(3868.0274205, 268.002236, 397.005221, 381.0037355)",-44.109,-43.531,-43.819,57.567,61.832,53.285,1.230960202536279,119.5238222539707,548.1725309396029,561.8910095651225,689b6763d1021f56f0d3cb06,142.9179960506621,760.0,123.8345595202801,545.9481579000001,551.7207528,548.8354999999999,circle_male,561.8910095651225,60.16989549435961,38.75533597151664,50.69856285064065,53.68899605066214,39.91799605066214,48.08099605066209,34.60555952028014,20.83455952028014,28.99755952028009,38.78286153636165,20.22772768959237,30.57620920134555,30.29482225397068,16.52382225397068,24.68682225397063,33.95176708690076,16.04254587764143,26.03079204737668,0.9944438219903043,body_all_mean,57.56133333333333,39.31562330092715,6.924890781328854,95.68866666666668,95.2233972483546,88.6551512064308,102.8755805460454,50.698562850640684,60.16989549435958,38.755335971516615,95.5847096669436,548.8348035666667,13.05620599845588,47.229329383995434,18.24571003240618
