image_name,big_total_length,big_carapace_length,big_eye_x,big_eye_y,small_total_length,small_carapace_length,small_eye_x,small_eye_y
undistorted_GX010193_18_1289.jpg,,,,,162.1,37.3,2346.8,1199.8
undistorted_GX010193_19_1334.jpg,,,,,152.1,37.9,1565.7,1146.7
undistorted_GX010193_20_1365.jpg,,,,,126.4,29.2,706.9,1453.7
undistorted_GX010193_27_1553.jpg,,,,,155.2,37.9,3632.7,977.2
undistorted_GX010193_28_1584.jpg,,,,,158.1,34.1,2855.8,772.0
undistorted_GX010193_3_251.jpg,195.4,51.0,3279.1,600.6,,,,
undistorted_GX010193_4_283.jpg,,,,,134.9,33.9,1829.6,520.2
undistorted_GX010193_7_360.jpg,,,,,140.4,35.5,2440.6,2308.4
undistorted_GX010194_17_257.jpg,,,,,164.0,38.0,1697.2,822.1
undistorted_GX010194_18_272.jpg,,,,,150.5,35.8,1824.1,1237.0
undistorted_GX010194_19_285.jpg,,,,,149.2,36.9,1905.9,1524.8
undistorted_GX010194_20_299.jpg,,,,,152.3,35.9,1994.8,1762.1
undistorted_GX010194_21_312.jpg,,,,,157.1,38.2,2045.9,1995.5
undistorted_GX010194_26_373.jpg,,,,,146.0,36.7,1605.1,1825.0
undistorted_GX010194_29_400.jpg,,,,,141.1,37.0,1725.1,1010.8
undistorted_GX010194_2_285.jpg,,,,,149.2,36.9,1905.9,1524.8
undistorted_GX010194_36_485.jpg,,,,,166.1,37.5,2380.5,913.2
undistorted_GX010194_37_496.jpg,,,,,164.8,37.9,2401.4,1355.5
undistorted_GX010194_38_504.jpg,,,,,149.9,34.0,2380.6,1667.0
undistorted_GX010194_39_513.jpg,,,,,157.5,37.5,2394.4,2021.8
undistorted_GX010194_3_360.jpg,,,,,152.0,35.5,1792.2,2009.8
undistorted_GX010194_60_836.jpg,,,,,144.8,34.8,2931.3,653.6
undistorted_GX010194_63_894.jpg,,,,,169.7,43.8,2135.9,771.0
undistorted_GX010194_64_911.jpg,,,,,164.2,41.6,1853.2,897.8
undistorted_GX010194_65_928.jpg,,,,,159.8,41.8,2094.8,969.7
undistorted_GX010194_6_101.jpg,,,,,147.4,38.1,4497.1,496.3
undistorted_GX010194_6_845.jpg,,,,,173.5,44.7,2847.5,730.0
undistorted_GX010194_7_885.jpg,179.2,43.4,2253.3,704.6,,,,
