Label,PrawnID,Pond_Type,mean_length,std_length,Length_fov(mm),mean_pixels,pred_Distance_pixels,Length_ground_truth_annotation_pixels,mean_scale,pred_scale
carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_0,circle_female,41.918,3.100498830833514,37.75355582799847,239.62600946666666,200.202887616559,187.683243791235,57.135,53.02888250544237
carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_1,circle_female,26.697999999999997,2.2568803690049672,26.81020146673334,152.5228311333333,142.6836265294219,128.0624847486563,57.135,53.21990090468613
carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_2,circle_female,46.29966666666667,5.608803288878415,39.03213370089752,264.4944461,204.0183418376421,233.452350598575,57.135,52.26932849765035
carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_3,circle_female,24.278666666666666,0.6762812531287058,22.19795548446902,138.68691246666666,115.7518152507831,145.086181285469,57.135,52.14525965320085
carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_0,circle_female,33.843333333333334,3.1935687456720467,28.18529795198593,183.91286333333332,150.1194025883786,162.6345596729059,54.12633333333333,53.261598598002834
carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_1,circle_female,34.544000000000004,3.3086019706214276,31.91789364958106,187.5509677,171.7526177124521,170.6604816587605,54.12633333333333,53.810761950046924
carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_2,circle_female,32.81366666666667,1.9586672339459146,34.73729979624052,177.1933145,181.6942326587993,169.1892431568859,54.12633333333333,52.30522629121086
carapace:undistorted_GX010068_27_795.jpg_gamma,Prawn_1,circle_female,36.97933333333333,1.2263789517654513,34.459308078579,192.47060573333331,186.555052689769,175.071414000116,52.112,54.13778253015404
carapace:undistorted_GX010068_27_795.jpg_gamma,Prawn_2,circle_female,33.477666666666664,3.9899393896816684,28.36084848037879,174.49169243333333,148.7897386983743,174.4276354251242,52.112,52.46307733046605
carapace:undistorted_GX010069_19_191.jpg_gamma,Prawn_0,circle_female,31.406000000000002,1.4501251670114563,32.33364303397632,177.29756193333333,169.8272672671814,156.923548264752,56.36633333333333,52.523394004420176
carapace:undistorted_GX010069_19_191.jpg_gamma,Prawn_1,circle_female,32.74166666666667,0.3853392444760001,30.70185340036781,184.58758079999998,162.1986861507662,145.3444185374867,56.36633333333333,52.83025882366537
carapace:undistorted_GX010069_19_191.jpg_gamma,Prawn_2,circle_female,27.465333333333334,3.670751467115872,26.6135050959192,154.00779839999998,138.940270772991,161.9413474070165,56.36633333333333,52.206678628849794
carapace:undistorted_GX010069_19_191.jpg_gamma,Prawn_3,circle_female,31.256666666666664,2.404093245557112,30.12266545795801,176.55449886666668,157.0700900469521,176.7766952966374,56.36633333333333,52.143489846930606
carapace:undistorted_GX010069_53_796.jpg_gamma,Prawn_0,circle_female,42.47733333333333,4.4656401929995795,37.25249294020791,233.34495266666667,194.1558928847379,181.7278184538629,55.254,52.11889931671625
carapace:undistorted_GX010069_53_796.jpg_gamma,Prawn_1,circle_female,36.943333333333335,1.1636538717906357,39.03419386660418,204.33269213333332,204.9122500858541,190.0657780874821,55.254,52.495576259656644
carapace:undistorted_GX010071_22_444.jpg_gamma,Prawn_0,circle_female,41.95333333333333,3.027738815243702,32.9356320219084,225.26683176666666,175.8684498674592,172.4093964956668,53.794000000000004,53.3976241143554
carapace:undistorted_GX010071_22_444.jpg_gamma,Prawn_1,circle_female,39.764,4.275887393278734,34.56556328930257,213.39869589999998,187.0282955744195,170.073513516949,53.794000000000004,54.108273604296066
carapace:undistorted_GX010073_42_695.jpg_gamma,Prawn_0,circle_female,28.94666666666667,5.2421602735259185,23.47374525046514,152.48963369999998,125.1840008295502,119.2686044187657,53.048333333333325,53.329368404502745
carapace:undistorted_GX010073_42_695.jpg_gamma,Prawn_1,circle_female,46.233666666666664,2.866210797086168,37.42382811719394,245.21168236666668,198.9339340184497,268.7005768508879,53.048333333333325,53.15702428823731
carapace:undistorted_GX010073_55_1014.jpg_gamma,Prawn_0,circle_female,37.038666666666664,2.8342301129818877,31.80997769642651,205.5409919,172.2447439117967,197.2941965694885,55.518,54.14802410601703
carapace:undistorted_GX010073_55_1014.jpg_gamma,Prawn_2,circle_female,37.565000000000005,5.904382440187965,26.89449124914613,208.5230978,140.1748154459216,159.9999999999995,55.518,52.12027033616856
carapace:undistorted_GX010073_55_1014.jpg_gamma,Prawn_3,circle_female,28.709333333333333,2.8514039232163033,26.99219420910574,159.5769775,145.6503337831049,142.2146265332785,55.518,53.96016813407862
carapace:undistorted_GX010077_14_237.jpg_gamma,Prawn_0,circle_female,26.24866666666667,2.345793113924015,24.94316443969545,139.57032406666667,134.194341230566,91.7877987534291,53.345333333333336,53.800046724225695
carapace:undistorted_GX010077_14_237.jpg_gamma,Prawn_1,circle_female,35.995,1.4717938034928664,32.28195207616267,191.65950189999998,173.0798414974284,186.6815470259445,53.345333333333336,53.61504815107893
carapace:undistorted_GX010077_14_237.jpg_gamma,Prawn_2,circle_female,34.312999999999995,2.4542948070678063,30.44549099282529,182.52958623333333,164.6198781516528,185.6071119327059,53.345333333333336,54.07036404518709
carapace:undistorted_GX010080_157_2283.jpg_gamma,Prawn_0,circle_female,26.501333333333335,2.2855223327137577,35.22626780724914,174.2415821333333,187.894376965569,186.0107523773827,65.78866666666666,53.33928021943404
carapace:undistorted_GX010080_157_2283.jpg_gamma,Prawn_3,circle_female,35.125,1.5137374276934557,33.79909058631164,230.8843975666667,179.9007289799793,187.6832437912346,65.78866666666666,53.22649984341225
carapace:undistorted_GX010080_157_2283.jpg_gamma,Prawn_4,circle_female,34.03366666666667,4.89448713690549,32.27854054244597,223.2446745,173.4713543513827,149.1643389017634,65.78866666666666,53.74200674385187
carapace:undistorted_GX010080_193_2640.jpg_gamma,Prawn_0,circle_female,34.535333333333334,5.474742490138995,30.8154545738458,197.88272086666666,163.4856764792192,134.5362404707371,57.81966666666667,53.05314451469279
