image_name,prawn_id,meas_1,meas_2,meas_3,avg,std,dev_pct,flag
undistorted_GX010067_33_625.jpg_gamma_obj0_cropped0.600462_0.2647,1.jpg,232.7252,226.1415,224.2878,229.4334,2.2,OK

undistorted_GX010067_33_625.jpg_gamma_obj0_cropped0.600462_0.2647,1.jpg,237.1181,240.4828,232.7681,238.8005,2.5,OK

undistorted_GX010068_26_666.jpg_gamma_obj0_cropped0.307077_0.799261,1.jpg,242.8868,241.9938,241.6713,242.4403,0.3,OK

undistorted_GX010068_27_795.jpg_gamma_obj0_cropped0.397364_0.694163,1.jpg,200.8009,196.4128,204.4162,198.6069,2.9,OK

undistorted_GX010069_19_191.jpg_gamma_obj0_cropped0.637446_0.168811,1.jpg,212.9272,212.4241,208.9689,212.6757,1.7,OK

undistorted_GX010069_53_796.jpg_gamma_obj0_cropped0.82672_0.699938,1.jpg,227.4775,226.241,227.4379,226.8592,0.3,OK

undistorted_GX010071_22_444.jpg_gamma_obj0_cropped0.348194_0.224912,1.jpg,274.4012,272.8388,274.2007,273.62,0.2,OK

undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357,1.jpg,272.2444,275.1091,275.8043,273.6767,0.8,OK

undistorted_GX010073_55_1014.jpg_gamma_obj0_cropped0.305851_0.646811,1.jpg,203.8431,200.6614,205.1853,202.2522,1.5,OK

undistorted_GX010077_14_237.jpg_gamma_obj0_cropped0.444795_0.521214,1.jpg,212.8779,216.0208,209.0598,214.4494,2.5,OK

undistorted_GX010080_157_2283.jpg_gamma_obj0_cropped0.484674_0.458543,1.jpg,174.1551,178.6449,175.6417,176.4,0.4,OK

undistorted_GX010080_157_2283.jpg_gamma_obj5_cropped0.558066_0.0813684,1.jpg,241.2986,237.7162,239.3846,239.5074,0.1,OK

undistorted_GX010080_193_2640.jpg_gamma_obj0_cropped0.302666_0.21123500000000003,1.jpg,229.0786,222.396,221.5784,225.7373,1.8,OK

undistorted_GX010080_193_2640.jpg_gamma_obj5_cropped0.511306_0.663759,1.jpg,207.5114,207.3475,208.7774,207.4295,0.6,OK

undistorted_GX010080_212_2954.jpg_gamma_obj0_cropped0.45727500000000004_0.41336199999999995,1.jpg,205.4191,205.847,207.2511,205.6331,0.8,OK

undistorted_GX010080_237_3366.jpg_gamma_obj0_cropped0.673871_0.3498629999999999,1.jpg,226.3846,229.3164,225.6568,227.8505,1.0,OK

undistorted_GX010080_237_3366.jpg_gamma_obj5_cropped0.279667_0.340296,1.jpg,138.9244,142.0774,136.4001,140.5009,2.9,OK

undistorted_GX010080_238_3392.jpg_gamma_obj0_cropped0.608277_0.630681,1.jpg,203.9608,206.4098,204.1372,205.1853,0.5,OK

undistorted_GX010080_238_3392.jpg_gamma_obj5_cropped0.153669_0.142633,1.jpg,239.535,234.1837,233.6365,236.8593,1.4,OK

undistorted_GX010082_236_3137.jpg_gamma_obj0_cropped0.732077_0.556452,1.jpg,237.3457,233.2059,235.5186,235.2758,0.1,OK

undistorted_GX010082_236_3137.jpg_gamma_obj5_cropped0.181078_0.861494,1.jpg,150.2332,152.6106,149.1643,151.4219,1.5,OK

undistorted_GX010082_53_796.jpg_gamma_obj0_cropped0.352716_0.58456,1.jpg,128.7983,131.727,127.2635,130.2626,2.3,OK

undistorted_GX010082_65_1070.jpg_gamma_obj0_cropped0.487806_0.214278,1.jpg,157.3849,153.5252,153.6001,155.4551,1.2,OK

undistorted_GX010082_8_59.jpg_gamma_obj0_cropped0.741319_0.194645,1.jpg,232.2283,232.6478,232.5618,232.4381,0.1,OK

undistorted_GX010084_130_1748.jpg_gamma_obj0_cropped0.425878_0.150282,1.jpg,225.6568,227.8815,224.6976,226.7692,0.9,OK

undistorted_GX010084_167_2291.jpg_gamma_obj0_cropped0.518964_0.750556,1.jpg,263.8977,267.6416,259.925,265.7696,2.2,OK

undistorted_GX010084_30_344.jpg_gamma_obj0_cropped0.61008_0.44459,1.jpg,201.9431,202.408,203.5903,202.1755,0.7,OK

undistorted_GX010084_30_344.jpg_gamma_obj5_cropped0.21105199999999996_0.0952912,1.jpg,177.0537,178.0842,174.9571,177.569,1.5,OK

undistorted_GX010085_261_3610.jpg_gamma_obj0_cropped0.7936910000000001_0.153409,1.jpg,250.4396,248.4552,249.1766,249.4474,0.1,OK

undistorted_GX010085_263_3738.jpg_gamma_obj0_cropped0.620592_0.102143,1.jpg,235.8686,234.3438,235.372,235.1062,0.1,OK

undistorted_GX010085_263_3738.jpg_gamma_obj5_cropped0.23024_0.0563993,1.jpg,217.5132,212.2287,216.9539,214.8709,1.0,OK

undistorted_GX010088_209_2904.jpg_gamma_obj0_cropped0.648369_0.646694,1.jpg,149.2649,145.8904,145.3444,147.5776,1.5,OK

undistorted_GX010088_262_3712.jpg_gamma_obj0_cropped0.483077_0.7415270000000002,1.jpg,193.8298,192.9171,192.0052,193.3735,0.7,OK

undistorted_GX010088_327_4364.jpg_gamma_obj0_cropped0.518134_0.604473,1.jpg,227.2664,228.1776,233.0322,227.722,2.3,OK

undistorted_GX010089_11_236.jpg_gamma_obj0_cropped0.382488_0.357011,1.jpg,140.0643,141.6616,140.0893,140.8629,0.5,OK

undistorted_GX010090_132_1852.jpg_gamma_obj0_cropped0.593174_0.420704,1.jpg,200.9602,206.7003,203.7081,203.8302,0.1,OK

undistorted_GX010091_5_149.jpg_gamma_obj0_cropped0.0260803_0.107141,1.jpg,137.6735,141.6757,136.0147,139.6746,2.6,OK

undistorted_GX010094_163_2312.jpg_gamma_obj0_cropped0.390596_0.828977,1.jpg,224.662,226.2145,222.6432,225.4382,1.2,OK

undistorted_GX010094_93_1258.jpg_gamma_obj0_cropped0.375379_0.184899,1.jpg,211.967,217.1129,212.0778,214.5399,1.1,OK

undistorted_GX010094_9_129.jpg_gamma_obj0_cropped0.387875_0.717031,1.jpg,162.41,158.9025,160.9627,160.6562,0.2,OK

undistorted_GX010096_107_1571.jpg_gamma_obj0_cropped0.574301_0.46668699999999996,1.jpg,204.2866,205.039,201.5167,204.6628,1.5,OK

undistorted_GX010097_105_1651.jpg_gamma_obj0_cropped0.878674_0.21296999999999996,1.jpg,223.8861,227.5016,230.2738,225.6939,2.0,OK

undistorted_GX010097_124_1870.jpg_gamma_obj0_cropped0.267264_0.7945769999999999,1.jpg,169.5317,167.726,170.1352,168.6288,0.9,OK

undistorted_GX010097_32_528.jpg_gamma_obj0_cropped0.691401_0.0580572,1.jpg,250.108,246.0081,242.8703,248.0581,2.1,OK

undistorted_GX010097_60_1080.jpg_gamma_obj0_cropped0.67413_0.764166,1.jpg,195.617,191.6377,192.3538,193.6273,0.7,OK

undistorted_GX010101_12_173.jpg_gamma_obj0_cropped0.613399_0.332871,1.jpg,241.2986,236.677,243.2324,238.9878,1.8,OK

undistorted_GX010102_50_1396.jpg_gamma_obj0_cropped0.742883_0.283068,1.jpg,197.5171,202.2004,198.3053,199.8587,0.8,OK

undistorted_GX010102_9_165.jpg_gamma_obj0_cropped0.42886599999999997_0.855079,1.jpg,94.3663,93.6056,94.0213,93.9859,0.0,OK

undistorted_GX010105_28_816.jpg_gamma_obj0_cropped0.76104_0.157493,1.jpg,140.8013,143.7533,142.9475,142.2773,0.5,OK

undistorted_GX010152_36_378.jpg_gamma_obj0_cropped0.553346_0.115344,1.jpg,254.0256,249.8159,250.9123,251.9208,0.4,OK

undistorted_GX010155_18_219.jpg_gamma_obj0_cropped0.8368640000000002_0.380969,1.jpg,253.4324,256.3299,256.1816,254.8812,0.5,OK

undistorted_GX010157_160_2259_obj0_cropped0.39966599999999997_0.186041,1.jpg,266.3269,265.5485,265.0453,265.9377,0.3,OK

undistorted_GX010157_174_2582.jpg_gamma_obj0_cropped0.286604_0.626463,1.jpg,289.3648,291.0464,294.0901,290.2056,1.3,OK

undistorted_GX010157_177_2665.jpg_gamma_obj0_cropped0.310833_0.527406,1.jpg,235.2616,232.8626,236.4783,234.0621,1.0,OK

undistorted_GX010157_68_883_obj0_cropped0.826173_0.37526200000000004,1.jpg,254.6723,253.0316,258.1182,253.852,1.7,OK

undistorted_GX010161_54_676.jpg_gamma.jpg_gamma_obj0_cropped0.699212_0.356008,1.jpg,249.3532,255.9941,253.3081,252.6737,0.3,OK

undistorted_GX010162_72_927.jpg_gamma.jpg_gamma_obj0_cropped0.440538_0.563871,1.jpg,248.5739,247.5035,248.7448,248.0387,0.3,OK

undistorted_GX010169_121_1249_obj0_cropped0.50692_0.339794,1.jpg,241.0187,247.6308,243.329,244.3247,0.4,OK

undistorted_GX010173_75_922.jpg_gamma_obj0_cropped0.422962_0.311624,1.jpg,279.1129,278.7293,281.8865,278.9211,1.1,OK

undistorted_GX010174_104_1236_obj0_cropped0.869861_0.531581,1.jpg,300.4829,299.5363,303.1914,300.0096,1.1,OK

undistorted_GX010174_62_790.jpg_gamma_obj0_cropped0.726009_0.427389,1.jpg,293.6018,295.3574,292.1815,294.4796,0.8,OK

undistorted_GX010175_215_2644.jpg_gamma_obj0_cropped0.70548_0.525861,1.jpg,374.2138,380.916,373.2251,377.5649,1.1,OK

undistorted_GX010175_266_3372.jpg_gamma.jpg_gamma_obj0_cropped0.740022_0.712154,1.jpg,337.5574,341.5026,332.5673,339.53,2.1,OK

undistorted_GX010178_107_2118_obj0_cropped0.545313_0.353815,1.jpg,307.5224,309.0275,308.026,308.2749,0.1,OK

undistorted_GX010178_114_2258_obj0_cropped0.86194_0.0996985,1.jpg,329.5087,334.9746,334.4264,332.2417,0.7,OK

undistorted_GX010178_172_3604.jpg_gamma_obj0_cropped0.735764_0.290903,1.jpg,333.0015,334.0135,326.0061,333.5075,2.2,OK

undistorted_GX010178_189_3987.jpg_gamma_obj0_cropped0.815087_0.280456,1.jpg,324.0139,324.0756,324.0015,324.0447,0.0,OK

undistorted_GX010179_200_3927.jpg_gamma_obj0_cropped0.749132_0.321943,1.jpg,368.3178,368.958,374.3274,368.6379,1.5,OK

