Unnamed: 0,Label,PrawnID,Avg_Length,Std_Length,Uncertainty,Length_1,Length_2,Length_3,BoundingBox_1,BoundingBox_2,BoundingBox_3,Angle_1,Angle_2,Angle_3,Scale_1,Scale_2,Scale_3,Global_Uncertainty,combined_scale,Length_bounding_box_1_1,Length_bounding_box_1_2,Length_bounding_box_2_1,Length_bounding_box_2_2,Length_bounding_box_3_1,Length_bounding_box_3_2,Length_ground_truth_annotation(mm),Length_ground_truth_annotation_pixels,pred_Distance_pixels,combined_scale_ground,id,Length_fov(mm),Height(mm),focal_RealLength(cm),Length_1_pixels,Length_2_pixels,Length_3_pixels,Pond_Type,Euclidean_Distance,MPError_fov_min,MPError_fov_max,MPError_fov_median,AbsError_fov_min,AbsError_fov_max,AbsError_fov_median,AbsError_focal_min,AbsError_focal_max,AbsError_focal_median,MPError_focal_min,MPError_focal_max,MPError_focal_median,Error_distance_mm_ground_min,Error_distance_mm_ground_max,Error_distance_mm_ground_median,Error_percentage_distance_mm_ground_min,Error_percentage_distance_mm_ground_max,Error_percentage_distance_mm_ground_median,pose_eval_iou,std_length,mean_length,choice,mean_scale,pred_scale,annotation_length_1,annotation_length_2,annotation_length_3,MPE_length1,MPE_length2,MPE_length3,mean_annotation_length,mean_pixels,diff_pixels,diff_mm,diff_scale
8,carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_0,41.918,2.531546694545976,1.461589165562227,40.475,39.802,45.477,"(2996.016573, 737.0050179, 159.9996606, 166.0006386)","(2976.000643, 731.9983679, 168.998449, 152.9979559)","(2968.0241899, 716.0031604000001, 192.999785, 181.0031267)",-133.939,-137.862,-136.848,56.613,56.921,57.871,0.2942581907953586,0.1879265994993634,230.5560743240633,230.5560743240633,227.9667744957234,227.9667744957234,264.5960107129781,264.5960107129781,35.2679386770055,187.683243791235,159.146503530716,0.1879120264792256,67ed4aaebd2d198747900449,29.90786123074089,650.0,29.99760943164732,229.1411175,226.5569642,263.1799467,circle_female,159.146503530716,24.85839598326494,34.2351931069752,26.10781660101078,9.894138769259111,15.56913876925911,10.56713876925911,9.804390568352684,15.47939056835268,10.47739056835269,24.63290932202574,34.03784455516565,25.88607923002517,4.534061322994503,10.2090613229945,5.207061322994505,11.39154143760239,22.44884518106846,12.86488282395183,0.9951643788124257,3.100498830833514,41.918,carapace_car_mean,57.135,53.212264930244075,33.15196929878915,32.972583719758084,32.43131167445439,26.107816601010768,24.85839598326493,34.23519310697519,32.851954897667206,239.62600946666666,80.47950593595067,12.010138769259108,3.922735069755923
10,carapace:undistorted_GX010067_33_625.jpg_gamma,Prawn_2,46.29966666666667,4.579568708465411,2.644015226604892,51.637,40.454,46.808,"(1136.0077806, 2072.0074935, 280.9986255, 84.9987582)","(1164.0002974, 2075.9999436, 221.0014746, 68.9996362)","(1132.0088439, 2076.0179572, 261.0039971, 77.0031526)",-163.301,-162.824,-163.706,56.613,56.921,57.871,0.2942581907953586,0.1913921266415163,293.5728468854557,293.5728468854557,231.5223565254699,231.5223565254699,272.1260222994408,272.1260222994408,44.74909378485969,233.452350598575,128.3020762855251,0.1916840574537904,67ed4aaebd2d19874790044b,24.5560072328087,650.0,24.18372686987606,292.3325481,230.2682134,270.8825768,circle_female,128.3020762855251,39.29893896077347,52.44493825588492,47.53886679027365,15.8979927671913,27.0809927671913,22.25199276719129,16.27027313012394,27.45327313012394,22.62427313012393,40.21919496248563,53.16589486245121,48.334201696556,4.295093784859688,6.887906215140312,2.058906215140304,10.6172289139756,13.33909060390866,4.398620353658145,0.9792927240940399,5.608803288878415,46.29966666666667,carapace_car_mean,57.135,52.248753255823985,41.2365270518388,41.013395864193356,40.340127282848925,52.444938255884935,39.29893896077347,47.53886679027367,40.86335006629369,264.4944461,136.19236981447492,21.743659433857967,4.886246744176013
20,carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_0,33.84333333333333,2.607537961798873,1.505462744166747,36.364,30.252,34.914,"(1496.0102131, 2248.0127922, 149.0029833, 149.0029833)","(1492.0112784, 2256.0158896, 108.9985432, 108.9985432)","(1495.9935876, 2255.9896036, 129.0004676, 140.9969732)",135.0,135.0,132.436,57.559,50.488,54.332,0.2942581907953586,0.1895504729418207,210.7220398169118,210.7220398169118,154.1472180723497,154.1472180723497,191.1053821653911,191.1053821653911,30.6272489304102,162.6345596729059,125.0574513333983,0.1883194383285346,67ed4aafbd2d198747900725,23.70469904514436,650.0,23.57214578008295,209.3075476,152.7362976,189.6947448,circle_female,125.0574513333983,21.64253918701453,34.81272949855801,32.10546186302241,6.547300954855636,12.65930095485563,11.20930095485565,6.679854219917047,12.79185421991705,11.34185421991706,22.08070282929078,35.17724733229856,32.48511834770308,0.3752489304101978,5.736751069589801,4.286751069589812,1.240410321334781,15.77590768229513,12.27802907025781,0.9784609690845747,3.1935687456720467,33.843333333333334,carapace_car_mean,54.12633333333333,52.756396989150936,28.255278874356037,32.21251776123156,29.933475607911713,34.81272949855802,21.642539187014545,32.105461863022406,30.13375741449977,183.91286333333332,58.855411999935015,10.138634288188975,1.369936344182392
21,carapace:undistorted_GX010068_26_666.jpg_gamma,Prawn_1,34.544,2.701462196663132,1.559689926449057,35.517,30.858,37.257,"(2800.015114, 1824.0101746, 104.9991278, 176.9996809)","(2812.0200384, 1836.0112664, 76.99924879999999, 136.999188)","(2811.9852592, 1819.9916032, 100.9977548, 176.9973564)",120.579,119.197,119.604,57.559,50.488,54.332,0.2942581907953586,0.1895504729418207,205.800155192999,205.800155192999,157.15489756423,157.15489756423,203.7856978475908,203.7856978475908,31.86438188836677,170.6604816587605,125.0574513333983,0.1867121291271187,67ed4aafbd2d198747900725,23.70469904514436,650.0,23.57214578008295,204.4323003,155.7958704,202.4247324,circle_female,125.0574513333983,23.18134990879395,36.37518038182257,33.25816075359867,7.153300954855638,13.55230095485564,11.81230095485564,7.285854219917049,13.68485421991705,11.94485421991705,23.61090874300683,36.73096121511944,33.63137151200003,1.006381888366768,5.392618111633229,3.652618111633235,3.261332193812846,14.47410717887438,10.2841403036102,0.9784609690845747,3.3086019706214276,34.544000000000004,carapace_car_mean,54.12633333333333,52.756396989150936,29.649660636696346,33.802186986761306,31.410675413892456,33.25816075359868,23.181349908793962,36.37518038182258,31.62084101245004,187.5509677,62.493516366601696,10.839300954855645,1.369936344182392
53,carapace:undistorted_GX010069_53_796.jpg_gamma,Prawn_0,42.47733333333333,3.646179949237587,2.105122975206137,37.659,46.477,43.296,"(3395.9963178, 539.9982585, 224.9987787, 0.9992808000000001)","(3396.0033425, 515.9998375, 232.999975, 5.002485)","(3387.9987368, 539.9975564, 245.0020744, 0.9975012)",0.0,-0.988,0.0,59.481,49.925,56.356,0.2942581907953586,0.1918911120496722,225.0009977280297,225.0009977280297,233.0536702267869,233.0536702267869,245.0041050042776,245.0041050042776,34.8477579674263,181.7278184538629,146.9389440317917,0.1917579722461338,67ed4aaebd2d198747900516,28.19627737366504,650.0,27.69660002309535,223.9994979,232.0364225,243.9989376,circle_female,146.9389440317917,25.12738688317522,39.33283694372475,34.87556038972412,9.462722626334955,18.28072262633495,15.09972262633496,9.96239997690465,18.78039997690465,15.59939997690465,26.45423398631045,40.40794366440314,36.02965626594754,2.811242032573702,11.6292420325737,8.448242032573702,7.464993846288276,25.02149887594659,19.51275414027555,0.9564082427561875,4.4656401929995795,42.47733333333333,carapace_car_mean,55.254,52.1128878413683,30.552246676058388,36.4001639366776,32.24640117358629,25.12738688317523,39.332836943724764,34.87556038972413,33.06627059544076,233.34495266666667,86.40600863487498,14.281055959668286,3.1411121586316995
84,carapace:undistorted_GX010073_42_695.jpg_gamma,Prawn_1,46.23366666666666,2.340251316038988,1.351144727286486,42.993,48.436,47.272,"(2316.0113657, 1808.0064275, 160.998229, 160.998229)","(2332.020942, 1780.017768, 173.002878, 173.002878)","(2320.0052162, 1784.0018952, 197.000853, 181.0020982)",-135.0,-135.0,-137.437,52.631,50.22,56.294,0.2942581907953586,0.1878731536814957,227.6858789698492,227.6858789698492,244.6630163971781,244.6630163971781,267.5277474123574,267.5277474123574,50.60154171111247,268.7005768508879,160.5315915405488,0.1883194383285347,67ed4aaebd2d1987479004c5,30.1595763682326,650.0,30.2586854102308,226.2764583,243.245592,266.1129968,circle_female,160.5315915405488,29.85003054396622,37.73313987894829,36.19991460434802,12.8334236317674,18.2764236317674,17.1124236317674,12.73431458976921,18.1773145897692,17.0133145897692,29.6195068726751,37.52852132663557,35.99025763616772,7.608541711112473,2.165541711112475,3.329541711112476,17.69716398277039,4.470934245421742,7.043369671502107,0.9940751479540355,2.866210797086168,46.233666666666664,carapace_car_mean,53.048333333333325,53.22740265995195,51.05367119205181,53.504694713438454,47.731654679164365,29.850030543966234,37.7331398789483,36.199914604348024,50.763340194884876,245.21168236666668,84.68009082611789,16.074090298434065,0.17906932661862385
95,carapace:undistorted_GX010073_55_1014.jpg_gamma,Prawn_2,37.565,4.820908074903177,2.78335257478379,36.703,32.139,43.853,"(4975.958526, 1583.9893938, 204.9994386, 44.9982126)","(3076.0079127, 1520.006973, 177.0009201, 5.001140100000001)","(4927.989844799999, 1591.9959348, 236.998629, 48.9978396)",-167.829,1.302,-168.503,56.859,54.777,54.918,0.2942581907953586,0.1868974191603862,209.8799870485747,209.8799870485747,177.0715593158493,177.0715593158493,242.0106163649579,242.0106163649579,30.70271703435636,159.9999999999995,117.6173625978212,0.1918919814647278,67ed4aadbd2d19874790040d,21.98238151798411,650.0,22.16975948145111,208.6895877,176.0478003,240.8319054,circle_female,117.6173625978212,31.6021608700205,49.87257082073265,40.10739852877393,10.15661848201589,21.87061848201589,14.7206184820159,9.96924051854889,21.68324051854889,14.5332405185489,31.01913724306571,49.44528428738943,39.59687360310845,1.436282965643645,13.15028296564364,6.000282965643652,4.468972169773935,29.98719121985643,16.34820849969662,0.9717182528376436,5.904382440187965,37.565000000000005,carapace_car_mean,55.518,53.505286723186344,28.139784378902103,29.20933968636462,29.13434575184812,40.10739852877393,31.602160870020512,49.872570820732655,28.827823272371614,208.5230978,90.90573520217879,15.582618482015896,2.012713276813656
106,carapace:undistorted_GX010077_14_237.jpg_gamma,Prawn_1,35.995,1.201714608382539,0.6938102526387645,36.552,37.107,34.326,"(2251.9864304, 1543.9934888, 92.9978294, 168.99645)","(2251.9843085, 1567.9898956, 73.00174720000001, 172.9972572)","(2260.0106705, 1548.006283, 80.99892750000001, 181.003767)",-118.706,-112.714,-113.962,52.402,50.249,57.385,0.2942581907953586,0.1861515024996335,192.8947806077552,192.8947806077552,187.7692895363233,187.7692895363233,198.3007562374397,198.3007562374397,34.64199843218955,186.6815470259445,141.708170890195,0.1855673417328982,67ed4aafbd2d19874790060f,26.37918892768463,650.0,26.7106488005045,191.5397904,186.4589643,196.979751,circle_female,141.708170890195,23.15099653998535,28.91047800230515,27.83106552942484,7.946811072315374,10.72781107231537,10.17281107231537,7.615351199495496,10.39635119949549,9.841351199495488,22.18537318503611,28.01722370306275,26.924248192973,0.315998432189545,2.465001567810454,1.910001567810447,0.9205804119021879,6.642955689790211,5.225436550148959,0.9936072791754345,1.4717938034928664,35.995,carapace_car_mean,53.345333333333336,53.71968458873806,35.62488970381751,37.151295951351166,32.53141884219648,27.83106552942484,28.91047800230514,23.150996539985346,35.102534832455056,191.65950189999998,49.95133100980499,9.615811072315367,0.3743512554047257
153,carapace:undistorted_GX010080_193_2640.jpg_gamma,Prawn_1,41.43433333333333,2.303617493325566,1.329994179881447,38.574,44.215,41.514,"(3356.0004, 504.0003, 79.0011, 222.9977)","(3335.9965232, 524.0013416, 76.9983984, 217.0020776)","(3343.9853057, 499.9957781, 88.9982899, 236.9991273)",-109.359,-109.385,-110.45,61.0,51.788,60.671,0.2942581907953586,0.1849275322117727,236.5779956092705,236.5779956092705,230.2578012552052,230.2578012552052,253.1586102546901,253.1586102546901,37.54121959321405,203.0394050424696,139.7105007957904,0.1848962253674925,67ed4aafbd2d19874790065d,25.83631813623642,650.0,26.33410689769312,235.3014,228.980642,251.8695894,circle_female,139.7105007957904,33.0214182189132,41.56662187891798,37.76480672487252,12.73768186376358,18.37868186376359,15.67768186376358,12.23989310230688,17.88089310230688,15.17989310230687,31.73094079511297,40.44078503292295,36.5657202445124,1.032780406785946,6.673780406785951,3.972780406785944,2.677400339052072,15.09392832022153,9.569736490788515,0.9902133912456149,2.8213437105984354,41.434333333333335,carapace_car_mean,57.81966666666667,54.07523628525115,33.28514836761797,39.205878783206465,33.46564339510963,33.0214182189132,41.56662187891797,37.76480672487252,35.31889018197802,238.71721046666667,99.00670967087626,15.598015197096913,3.744430381415519
192,carapace:undistorted_GX010080_237_3366.jpg_gamma,Prawn_3,36.76333333333334,3.109013705698677,1.794989899899367,32.386,38.594,39.31,"(3413.9766412, 1025.9921192, 130.0005356, 124.0016116)","(3411.970342199999, 1003.9899492, 140.996961, 144.9986832)","(3411.9828957, 1007.9935457, 160.9996827, 140.9997893)",-136.364,-134.193,-138.814,55.036,52.038,54.083,0.2942581907953586,0.1867832421743459,179.6567252726269,179.6567252726269,202.249254982483,202.249254982483,214.0136407151308,214.0136407151308,30.30331877122181,158.9024858207069,129.1486849747802,0.1907038685688888,67ed4aafbd2d19874790062a,24.12281010214267,650.0,24.34330459378635,178.2395896,200.8354572,212.600273,circle_female,129.1486849747802,25.51469739349514,38.63441846313238,37.4959576562609,8.263189897857337,15.18718989785734,14.47118989785733,8.042695406213653,14.96669540621365,14.25069540621364,24.83386465205228,38.0735065027058,36.9246395973821,2.082681228778192,9.006681228778191,8.290681228778183,6.43080722774715,22.91193393227726,21.48178791723632,0.9905533126658177,3.807748591140614,36.763333333333335,carapace_car_mean,53.718999999999994,53.537993470880394,28.872462719076037,30.535855686365135,29.38122623018451,25.514697393495133,37.4959576562609,38.63441846313236,29.596514878541893,197.2251066,68.07642162521981,12.640523231190667,0.1810065291195997
