/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010067_33_625.jpg_gamma.jpg,(3, 3),53.98916244506836
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010162_163_2433.jpg_gamma.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010162_163_2433.jpg_gamma.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010162_163_2433.jpg_gamma.jpg_gamma.jpg,(3, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010183_37_685.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010183_37_685.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010183_37_685.jpg_gamma.jpg,(3, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010082_53_796.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010082_53_796.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010082_53_796.jpg_gamma.jpg,(3, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010152_36_378.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010152_36_378.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010152_36_378.jpg_gamma.jpg,(3, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010157_174_2582.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010157_174_2582.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010157_174_2582.jpg_gamma.jpg,(3, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010080_212_2954.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010080_212_2954.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010080_212_2954.jpg_gamma.jpg,(3, 3),53.03628921508789
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010178_107_2118.jpg,(4, 3),78.61478424072266
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010097_32_528.jpg_gamma.jpg,(4, 3),55.74772644042969
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010073_42_695.jpg_gamma.jpg,(4, 3),55.694488525390625
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010085_263_3738.jpg_gamma.jpg,(4, 3),56.89335632324219
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010090_132_1852.jpg_gamma.jpg,(4, 3),55.6702766418457
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010174_166_2266.jpg_gamma.jpg,(4, 3),89.48930358886719
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010171_115_1483.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010171_115_1483.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010171_115_1483.jpg_gamma.jpg,(3, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010069_53_796.jpg_gamma.jpg,(4, 3),53.84808349609375
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010161_136_2267.jpg_gamma.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010161_136_2267.jpg_gamma.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010161_136_2267.jpg_gamma.jpg_gamma.jpg,(3, 3),77.00875091552734
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010089_11_236.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010089_11_236.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010089_11_236.jpg_gamma.jpg,(3, 3),50.466697692871094
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010084_130_1748.jpg_gamma.jpg,(4, 3),56.000736236572266
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010157_173_2554.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010157_173_2554.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010157_173_2554.jpg_gamma.jpg,(3, 3),78.0367431640625
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010163_61_864.jpg_gamma.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010163_61_864.jpg_gamma.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010163_61_864.jpg_gamma.jpg_gamma.jpg,(3, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010162_153_2230.jpg_gamma.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010162_153_2230.jpg_gamma.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010162_153_2230.jpg_gamma.jpg_gamma.jpg,(3, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010169_121_1249.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010169_121_1249.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010169_121_1249.jpg,(3, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010175_266_3372.jpg_gamma.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010175_266_3372.jpg_gamma.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010175_266_3372.jpg_gamma.jpg_gamma.jpg,(3, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010088_209_2904.jpg_gamma.jpg,(4, 3),52.983436584472656
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010085_261_3610.jpg_gamma.jpg,(4, 3),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010085_261_3610.jpg_gamma.jpg,(3, 4),None
/Users/gilbenor/Library/CloudStorage/OneDrive-Personal/measurement_paper_images/images used for imageJ/check/stabilized/shai/measurements/2/carapace/undistorted_GX010085_261_3610.jpg_gamma.jpg,(3, 3),57.95726776123047
