image_name,prawn_id,meas_1,meas_2,meas_3,avg,std,dev_pct,flag,base_image_name,camera_frame,scale_factor,scaled_meas_1,scaled_meas_2,scaled_meas_3,scaled_avg,measurement_type
undistorted_GX010088_209_2904.jpg_gamma_obj1_cropped0.706544_0.162394,1.jpg,210.0857,206.0097,202.1213,208.0477,2.8,OK,,undistorted_GX010088_209_2904.jpg_gamma,GX010088_209_2904,0.1744074506862933,36.640511362645405,35.929626593648074,35.25146066239949,36.28506897814674,carapace
undistorted_GX010088_262_3712.jpg_gamma_obj1_cropped0.622377_0.7377740000000002,1.jpg,241.6113,240.4163,234.2008,241.0138,2.8,OK,,undistorted_GX010088_262_3712.jpg_gamma,GX010088_262_3712,0.1953468383114219,47.198003555312454,46.964564083530306,45.75038581000566,47.08128381942138,carapace
undistorted_GX010088_327_4364.jpg_gamma_obj1_cropped0.10054299999999998_0.59776,1.jpg,214.9721,216.0046,213.6539,215.4884,0.9,OK,,undistorted_GX010088_327_4364.jpg_gamma,GX010088_327_4364,0.19425774117098565,41.75999456078325,41.96056567854229,41.50392400637165,41.860289832549824,carapace
undistorted_GX010089_11_236.jpg_gamma_obj1_cropped0.856459_0.40323700000000007,1.jpg,154.3308,150.2831,154.6512,152.3069,1.5,OK,,undistorted_GX010089_11_236.jpg_gamma,GX010089_11_236,0.18284209756454325,28.218167190814015,27.47807723250201,28.27674979887369,27.848113069553136,carapace
undistorted_GX010090_132_1852.jpg_gamma_obj1_cropped0.290046_0.866326,1.jpg,194.4351,194.6587,189.676,194.5469,2.5,OK,,undistorted_GX010090_132_1852.jpg_gamma,GX010090_132_1852,0.17886847800812064,34.77831040835674,34.81830540003936,33.927057434668285,34.79830790419805,carapace
undistorted_GX010091_5_149.jpg_gamma_obj1_cropped0.48227499999999995_0.498148,1.jpg,196.2065,198.6454,199.3615,197.426,1.0,OK,,undistorted_GX010091_5_149.jpg_gamma,GX010091_5_149,0.19228920296125374,37.72839150081723,38.19736563791943,38.33506393615999,37.962888183828476,carapace
undistorted_GX010091_5_149.jpg_gamma_obj6_cropped0.46567000000000003_0.839688,1.jpg,61.2699,61.4003,60.4152,61.3351,1.5,OK,,undistorted_GX010091_5_149.jpg_gamma,GX010091_5_149,0.19228920296125374,11.78154023651572,11.806614748581868,11.617190654744736,11.794077492548793,carapace
undistorted_GX010094_24_430.jpg_gamma_obj1_cropped0.736605_0.309247,1.jpg,218.1605,219.4561,223.9866,218.8083,2.4,OK,,undistorted_GX010094_24_430.jpg_gamma,GX010094_24_430,0.17645086725601256,38.49460942600533,38.72321916962222,39.52262982372558,38.608914297813776,carapace
undistorted_GX010094_9_129.jpg_gamma_obj1_cropped0.409259_0.942629,1.jpg,238.7237,240.8423,236.4847,239.783,1.4,OK,,undistorted_GX010094_9_129.jpg_gamma,GX010094_9_129,0.1727205209250911,41.23248182116517,41.59840751679707,40.845760574813895,41.41544466898112,carapace
undistorted_GX010097_105_1651.jpg_gamma_obj1_cropped0.511395_0.17872,1.jpg,217.3131,216.8317,218.4033,217.0724,0.6,OK,,undistorted_GX010097_105_1651.jpg_gamma,GX010097_105_1651,0.1779517750689563,38.6712518907376,38.585585906219414,38.86525491591778,38.62841889847851,carapace
undistorted_GX010097_124_1870.jpg_gamma_obj1_cropped0.329382_0.313961,1.jpg,207.3282,207.1256,210.0976,207.2269,1.4,OK,,undistorted_GX010097_124_1870.jpg_gamma,GX010097_124_1870,0.18164314387953426,37.65974606288486,37.62294516193486,38.16278858554484,37.64134561240986,carapace
undistorted_GX010097_32_528.jpg_gamma_obj1_cropped0.661415_0.316431,1.jpg,108.6692,110.8603,110.44,109.7647,0.6,OK,,undistorted_GX010097_32_528.jpg_gamma,GX010097_32_528,0.18248508184455922,19.830507855982777,20.230350918812388,20.15365243891312,20.03042026314349,carapace
undistorted_GX010097_60_1080.jpg_gamma_obj1_cropped0.359558_0.734083,1.jpg,125.6423,128.969,125.3635,127.3057,1.5,OK,,undistorted_GX010097_60_1080.jpg_gamma,GX010097_60_1080,0.1960054097493091,24.62657049334562,25.278621689958644,24.571924185107513,24.95260589192262,carapace
undistorted_GX010102_9_165.jpg_gamma_obj1_cropped0.448036_0.216305,1.jpg,154.7676,158.373,159.6152,156.5703,1.9,OK,,undistorted_GX010102_9_165.jpg_gamma,GX010102_9_165,0.1898109482954977,29.376584921418267,30.060929314402852,30.29671247437552,29.718757117910563,carapace
undistorted_GX010105_28_816.jpg_gamma_obj1_cropped0.647012_0.216644,1.jpg,115.5206,118.5622,116.9316,117.0414,0.1,OK,,undistorted_GX010105_28_816.jpg_gamma,GX010105_28_816,0.18346940647647006,21.194495917805707,21.75253646454454,21.453371250344006,21.473516191175122,carapace
undistorted_GX010152_36_378.jpg_gamma_obj1_cropped0.118061_0.557063,1.jpg,238.5162,235.3147,235.7626,236.9155,0.5,OK,,undistorted_GX010152_36_378.jpg_gamma,GX010152_36_378,0.14420442419173418,34.39509128140051,33.93342081735067,33.99800997894615,34.1642632595968,carapace
undistorted_GX010155_18_219.jpg_gamma_obj1_cropped0.348378_0.582551,1.jpg,206.3201,205.9369,211.0261,206.1285,2.4,OK,,undistorted_GX010155_18_219.jpg_gamma,GX010155_18_219,0.13673530779117785,28.21124237700659,28.158845407061015,28.854718735471877,28.185043892033804,carapace
undistorted_GX010178_107_2118_obj1_cropped0.655757_0.413577,1.jpg,333.3377,325.4443,328.6092,329.391,0.2,OK,,,GX010178_107_2118,0.1315737536676184,43.85849242793048,42.8199281607305,43.236345933713146,43.33921029433049,carapace
undistorted_GX010178_189_3987.jpg_gamma_obj1_cropped0.312475_0.136874,1.jpg,241.8781,239.3658,237.4974,240.6219,1.3,OK,,undistorted_GX010178_189_3987.jpg_gamma,GX010178_189_3987,0.13704262025489927,33.14760860627655,32.80331643141017,32.547265999725916,32.97545566671235,carapace
undistorted_GX010179_200_3927.jpg_gamma_obj1_cropped0.544078_0.267049,1.jpg,292.638,293.3189,288.5221,292.9785,1.5,OK,,undistorted_GX010179_200_3927.jpg_gamma,GX010179_200_3927,0.13422098142381617,39.27815956190271,39.36955062815419,38.725719424460436,39.323861806077524,carapace
undistorted_GX010180_99_1788_obj1_cropped0.0512686_0.506643,1.jpg,263.6968,270.6917,259.4802,267.1943,2.9,OK,,,GX010180_99_1788,0.12476450699305061,32.900001247645065,33.77271649761076,32.373919227458174,33.336365110853265,carapace
undistorted_GX010183_128_2852.jpg_gamma_obj1_cropped0.10659999999999999_0.73272,1.jpg,195.1256,199.2034,194.4351,197.1645,1.4,OK,,undistorted_GX010183_128_2852.jpg_gamma,GX010183_128_2852,0.14541435821373,28.374063895068993,28.96703456499294,28.273655280722416,28.670549230030968,carapace
undistorted_GX010183_37_685.jpg_gamma_obj1_cropped0.8260990000000001_0.354157,1.jpg,186.7619,186.5101,183.6355,186.636,1.6,OK,,undistorted_GX010183_37_685.jpg_gamma,GX010183_37_685,0.1381081939591476,25.79334870937893,25.758573066140016,25.361567251785054,25.775960887759474,carapace
undistorted_GX010069_19_191.jpg_gamma_obj4_cropped0.0367678_0.701098,1.jpg,181.3395,184.8378,182.5842,183.0886,0.3,OK,,undistorted_GX010069_19_191.jpg_gamma,GX010069_19_191,0.17935932847867417,32.52493094665853,33.15238368547548,32.748179502815944,32.838648348100584,carapace
undistorted_GX010073_55_1014.jpg_gamma_obj4_cropped0.0451732_0.850874,1.jpg,175.3853,177.3866,172.4906,176.3859,2.2,OK,,undistorted_GX010073_55_1014.jpg_gamma,GX010073_55_1014,0.17378308395460787,30.47899831430409,30.826790400222443,29.975948421180686,30.652885668109068,carapace
undistorted_GX010080_157_2283.jpg_gamma_obj4_cropped0.8170660000000001_0.443111,1.jpg,170.4846,165.3874,164.7544,167.936,1.9,OK,,undistorted_GX010080_157_2283.jpg_gamma,GX010080_157_2283,0.17417961401797533,29.694941824008918,28.807113495436496,28.696857799763116,29.251027659722705,carapace
undistorted_GX010080_237_3366.jpg_gamma_obj4_cropped0.278897_0.164793,1.jpg,197.2232,195.8801,198.7259,196.5516,1.1,OK,,undistorted_GX010080_237_3366.jpg_gamma,GX010080_237_3366,0.1863307743906984,36.74875158381158,36.49849072072744,37.02875083848849,36.6236118357308,carapace
undistorted_GX010080_238_3392.jpg_gamma_obj4_cropped0.267531_0.550144,1.jpg,130.2498,129.0736,128.6546,129.6617,0.8,OK,,undistorted_GX010080_238_3392.jpg_gamma,GX010080_238_3392,0.18067173752009974,23.532457677645485,23.319951579974347,23.24425012195342,23.426204628809916,carapace
undistorted_GX010082_236_3137.jpg_gamma_obj4_cropped0.160209_0.848813,1.jpg,126.5622,123.0041,123.3086,124.7832,1.2,OK,,undistorted_GX010082_236_3137.jpg_gamma,GX010082_236_3137,0.19228920296125374,24.336544563022787,23.65236034996635,23.71091241226805,23.994462070954715,carapace
undistorted_GX010082_8_59.jpg_gamma_obj4_cropped0.367919_0.134287,1.jpg,193.1321,198.0934,195.7269,195.6127,0.1,OK,,undistorted_GX010082_8_59.jpg_gamma,GX010082_8_59,0.19187965308158725,37.058120346918415,38.01009286975209,37.55600967073452,37.5340970143526,carapace
undistorted_GX010084_30_344.jpg_gamma_obj4_cropped0.361298_0.7201640000000001,1.jpg,196.023,192.151,191.1282,194.087,1.5,OK,,undistorted_GX010084_30_344.jpg_gamma,GX010084_30_344,,,,,,carapace
