meas_image_name,meas_prawn_id,meas_meas_1,meas_meas_2,meas_meas_3,meas_avg,meas_std,meas_dev_pct,meas_flag,meas_base_image_name,meas_camera_frame,meas_scale_factor,meas_scaled_meas_1,meas_scaled_meas_2,meas_scaled_meas_3,meas_scaled_avg,meas_measurement_type,meas_center_x,meas_center_y,length_Label,length_PrawnID,length_Avg_Length,length_Std_Length,length_Uncertainty,length_Length_1,length_Length_2,length_Length_3,length_Angle_1,length_Angle_2,length_Angle_3,length_Scale_1,length_Scale_2,length_Scale_3,length_Global_Uncertainty,length_Length_ground_truth_annotation(mm),length_Length_ground_truth_annotation_pixels,length_pred_Distance_pixels,length_combined_scale,length_combined_scale_ground,length_id,length_Length_fov(mm),length_Height(mm),length_focal_RealLength(cm),length_Length_1_pixels,length_Length_2_pixels,length_Length_3_pixels,length_Pond_Type,length_Euclidean_Distance,length_MPError_fov_min,length_MPError_fov_max,length_MPError_fov_median,length_AbsError_fov_min,length_AbsError_fov_max,length_AbsError_fov_median,length_AbsError_focal_min,length_AbsError_focal_max,length_AbsError_focal_median,length_MPError_focal_min,length_MPError_focal_max,length_MPError_focal_median,length_Error_distance_mm_ground_min,length_Error_distance_mm_ground_max,length_Error_distance_mm_ground_median,length_Error_percentage_distance_mm_ground_min,length_Error_percentage_distance_mm_ground_max,length_Error_percentage_distance_mm_ground_median,length_pose_eval_iou,length_camera_frame,match_type
undistorted_GX010073_42_695.jpg_gamma_obj2_cropped0.10033300000000002_0.0908068,1.jpg,521.0461,517.6534,525.1019,519.3497,1.1,OK,,undistorted_GX010073_42_695.jpg_gamma,undistorted_GX010073_42_695,0.1969201685636643,102.60448584143988,101.93639478555394,103.4031546611004,102.27043046748848,total,0.10033300000000002,0.0908068,full body:undistorted_GX010073_42_695.jpg_gamma,Prawn_0,79.95300000000002,2.423079995928048,1.398965887917056,79.988,82.903,76.968,-89.427,-87.114,-92.064,50.01,57.489,57.723,1.230960202536279,94.0245259135875,509.1271184451384,721.1792805519138,0.1866585727413012,0.1846778977335485,67ee457267583908e8ad2efe,134.6142951984186,650.0,135.9354676869626,400.019988,476.6010567,444.2823864,right,721.1792805519138,74.89644423451126,62.37566215748359,68.293112964968,57.64629519841863,51.71129519841863,54.62629519841862,58.96746768696256,53.03246768696256,55.94746768696255,76.61296602089513,63.96929868275281,69.94482633265308,17.05652591358749,11.12152591358749,14.03652591358748,22.16054193117593,13.4151067073417,17.54828963542966,0.5090332453270484,undistorted_GX010073_42_695,spatial_match
undistorted_GX010073_55_1014.jpg_gamma_obj2_cropped0.577343_0.508345,1.jpg,623.5543,641.2488,636.4542,632.4016,0.6,OK,,undistorted_GX010073_55_1014.jpg_gamma,undistorted_GX010073_55_1014,0.1737830839546078,108.36318926715674,111.43819404619154,110.6049736718628,109.90070034582835,total,0.577343,0.508345,full body:undistorted_GX010073_55_1014.jpg_gamma,Prawn_1,108.8563333333333,2.952291915708127,1.704506532260443,112.917,107.667,105.985,3.814,1.909,4.167,53.254,55.758,57.14,1.230960202536279,115.0065634375614,610.2663394354464,614.6577635093324,0.1884209897907741,0.1884530671377898,67ee457167583908e8ad2e30,115.814424183012,650.0,115.8571700591847,601.3281918,600.3296586,605.59829,right,614.6577635093324,9.274354090684485,2.565976941480866,7.567243615046346,9.829424183011952,2.89742418301195,8.14742418301195,9.872170059184668,2.940170059184666,8.190170059184666,9.314686096319921,2.603832956228616,7.606945544302958,9.021563437561426,2.089563437561424,7.339563437561424,8.512113447715643,1.850530422842817,6.816910880363921,0.9787007486915553,undistorted_GX010073_55_1014,spatial_match
undistorted_GX010073_55_1014.jpg_gamma_obj1_cropped0.589214_0.213622,1.jpg,669.0269,657.1096,651.0069,663.0682,1.8,OK,,undistorted_GX010073_55_1014.jpg_gamma,undistorted_GX010073_55_1014,0.1737830839546078,116.26555793059104,114.1945327841788,113.133986757729,115.23003666823072,total,0.589214,0.213622,full body:undistorted_GX010073_55_1014.jpg_gamma,Prawn_0,113.727,2.684724566878326,1.550026451387203,117.174,113.382,110.625,-90.0,-88.55,-88.912,53.254,55.758,57.14,1.230960202536279,117.8275563172551,638.0169,655.0486809560687,0.1846888758064304,0.1846777982170302,67ee457167583908e8ad2e2c,120.9802044842614,650.0,123.4704756566856,623.9984196,632.1953556000001,632.11125,right,655.0486809560687,9.360636821931227,3.248335368137482,6.701420405585883,10.35520448426142,3.806204484261414,7.598204484261387,12.84547565668562,6.296475656685615,10.08847565668559,11.61172940717344,5.373611600428093,8.89777535824521,7.202556317255116,0.6535563172551093,4.445556317255082,6.510785371530048,0.5577656453267016,3.92086602569639,0.9783163525446708,undistorted_GX010073_55_1014,spatial_match
undistorted_GX010077_14_237.jpg_gamma_obj1_cropped0.807605_0.751737,1.jpg,589.1706,602.0507,587.7287,595.6106,1.3,OK,,undistorted_GX010077_14_237.jpg_gamma,undistorted_GX010077_14_237,0.1703751661157869,100.38003884553788,102.5744880226258,100.13437489351551,101.47725491532354,total,0.807605,0.751737,full body:undistorted_GX010077_14_237.jpg_gamma,Prawn_2,104.4713333333333,9.078198401787775,5.241300291029003,99.614,96.608,117.192,-99.926,-102.002,-98.18,48.918,53.759,55.172,1.230960202536279,107.2709215640032,580.5061590391097,656.6099787137315,0.184866839195657,0.1847886019703301,67ee457367583908e8ad3040,121.3854113491351,650.0,123.7647655047302,487.2917652,519.3549472000001,646.5717023999999,right,656.6099787137315,25.64737014443435,3.578240280168567,21.85577463924263,24.77741134913514,4.193411349135147,21.77141134913515,27.15676550473016,6.572765504730171,24.15076550473017,28.11026571788067,5.608544529259823,24.24434869067619,10.66292156400318,9.921078435996805,7.656921564003198,11.03730701805563,8.465661850635543,7.68659180838356,0.9873014881078221,undistorted_GX010077_14_237,spatial_match
undistorted_GX010077_14_237.jpg_gamma_obj2_cropped0.369629_0.12261,1.jpg,498.3423,502.2211,507.5047,500.2817,1.4,OK,,undistorted_GX010077_14_237.jpg_gamma,undistorted_GX010077_14_237,0.1703751661157869,84.90515214502334,85.56600333935324,86.46619756704263,85.2355777421883,total,0.369629,0.12261,full body:undistorted_GX010077_14_237.jpg_gamma,Prawn_0,75.62400000000001,2.844911363587038,1.642510341587602,79.583,74.265,73.024,-61.46,-65.746,-60.89,48.918,53.759,55.172,1.230960202536279,70.81532770046964,381.9356640200285,475.9868599521351,0.1853493641972769,0.1854116658159373,67ee457367583908e8ad303e,88.2238618583865,650.0,89.7190174001187,389.3041194,399.2412135,402.8880128,right,475.9868599521351,20.81488532316293,10.85767294319955,18.79601677558269,15.1998618583865,8.6408618583865,13.95886185838648,16.6950174001187,10.1360174001187,15.45401740011869,22.86237045371207,12.73641028877864,20.80928755149624,2.208672299530363,8.76767229953036,3.449672299530377,3.024584108690791,11.01701657330128,4.645084898041307,0.9768484851537578,undistorted_GX010077_14_237,spatial_match
undistorted_GX010080_157_2283.jpg_gamma_obj2_cropped0.235209_0.123212,1.jpg,752.0007,767.4907,752.4307,759.7457,1.0,OK,,undistorted_GX010080_157_2283.jpg_gamma,undistorted_GX010080_157_2283,0.1741796140179753,130.98319166724727,133.6812338883857,131.058088901275,132.3322127778165,total,0.235209,0.123212,full body:undistorted_GX010080_157_2283.jpg_gamma,Prawn_0,106.3263333333333,1.989812944865808,1.148819039355276,105.483,104.423,109.073,52.684,52.876,51.438,68.184,69.181,67.067,1.230960202536279,129.4857491283032,696.507572109916,765.0252001723981,0.1860686140085039,0.1859071664304448,67ee457367583908e8ad2fdc,142.3471786776564,650.0,144.2000084890973,719.2252872,722.4087563,731.5198890999999,right,765.0252001723981,36.31784058843012,30.50633857843499,34.94798088569381,37.92417867765639,33.27417867765639,36.8641786776564,39.77700848909734,35.12700848909735,38.71700848909735,38.09219088620068,32.20504477652339,36.70450071489942,25.06274912830318,20.41274912830319,24.00274912830319,24.00117706664545,18.71475904055375,22.75508767128655,0.9979802926784669,undistorted_GX010080_157_2283,spatial_match
undistorted_GX010080_157_2283.jpg_gamma_obj1_cropped0.318029_0.7344440000000001,1.jpg,768.2044,762.5287,750.9361,765.3665,1.9,OK,,undistorted_GX010080_157_2283.jpg_gamma,undistorted_GX010080_157_2283,0.1741796140179753,133.80554587891032,132.8169546436285,130.79776005016373,133.31124155228872,total,0.318029,0.7344440000000001,full body:undistorted_GX010080_157_2283.jpg_gamma,Prawn_3,108.7296666666667,0.8946248127318804,0.5165118764544697,108.91,109.724,107.555,-115.185,-114.269,-114.575,68.184,69.181,67.067,1.230960202536279,134.2368079454547,724.6769122427523,687.1450601272937,0.1853537830587096,0.1852367664508787,67ee457367583908e8ad2fde,127.3649364046984,650.0,129.5203393055131,742.591944,759.0816044000001,721.3391184999999,right,687.1450601272937,18.41842443837885,16.07755496035359,16.94512570443336,19.80993640469838,17.64093640469838,18.45493640469837,21.96533930551308,19.79633930551309,20.61033930551308,20.42242508996614,18.04194096598108,18.92419365119188,26.68180794545466,24.51280794545467,25.32680794545466,24.80759420338865,22.34042501681917,23.25480483468429,0.9877701798252219,undistorted_GX010080_157_2283,spatial_match
undistorted_GX010080_193_2640.jpg_gamma_obj2_cropped0.610808_0.498642,1.jpg,662.6749,668.8617,656.4998,665.7683,1.4,OK,,undistorted_GX010080_193_2640.jpg_gamma,undistorted_GX010080_193_2640,0.1892828074425999,125.4329654937442,126.60402036683008,124.2641252295054,126.01849293028712,total,0.610808,0.498642,full body:undistorted_GX010080_193_2640.jpg_gamma,Prawn_3,107.973,4.731109595010455,2.731507398244908,106.109,103.34,114.47,149.995,149.642,149.792,61.814,62.801,59.034,1.230960202536279,126.774341741643,676.4820387602473,682.0591551184478,0.1872754575160152,0.1874023765272106,67ee457367583908e8ad309c,127.7329403277941,650.0,128.5616943546212,655.9021726,648.985534,675.762198,right,682.0591551184478,23.60454841087097,11.58638973337474,20.37898795370241,24.39294032779407,13.26294032779407,21.62394032779409,25.22169435462121,14.09169435462121,22.45269435462123,24.4065166969433,12.31038206920696,21.16002823004763,23.43434174164297,12.30434174164297,20.66534174164299,22.67693220596378,10.74896631575345,19.47557864238,0.9939268760549411,undistorted_GX010080_193_2640,spatial_match
undistorted_GX010080_193_2640.jpg_gamma_obj3_cropped0.970145_0.215488,1.jpg,706.9597,718.2674,712.2977,712.6135,0.0,OK,,undistorted_GX010080_193_2640.jpg_gamma,undistorted_GX010080_193_2640,0.1892828074425999,133.81531676477826,135.95566996649694,134.82570839090684,134.88548390149722,total,0.970145,0.215488,full body:undistorted_GX010080_193_2640.jpg_gamma,Prawn_2,114.6996666666667,4.06036175180926,2.344250950414337,111.425,112.252,120.422,-101.049,-99.142,-100.045,61.814,62.801,59.034,1.230960202536279,132.0614605788624,714.4964727270877,671.6648637382038,0.1847923573725425,0.184831508089621,67ee457367583908e8ad30a2,124.1185335344902,650.0,126.6024688220093,688.762495,704.9537852,710.8992347999999,right,671.6648637382038,11.39199778729211,3.069649677376417,10.57133372633917,12.69353353449023,3.696533534490229,11.86653353449024,15.17746882200926,6.18046882200926,14.35046882200928,13.62124193135227,5.132341949153195,12.78415424403064,20.63646057886238,11.63946057886238,19.8094605788624,18.52049412507282,9.665559929964942,17.64731192215943,0.9863396906234456,undistorted_GX010080_193_2640,spatial_match
undistorted_GX010080_193_2640.jpg_gamma_obj1_cropped0.641363_0.187963,1.jpg,695.0827,704.2478,697.4274,699.6653,0.3,OK,,undistorted_GX010080_193_2640.jpg_gamma,undistorted_GX010080_193_2640,0.1892828074425999,131.5672048607825,133.30200071927467,132.01101625939316,132.43461225416894,total,0.641363,0.187963,full body:undistorted_GX010080_193_2640.jpg_gamma,Prawn_1,115.4813333333333,3.009503428954497,1.737537614833981,116.487,111.397,118.56,-110.146,-109.367,-110.403,61.814,62.801,59.034,1.230960202536279,122.9698129500737,664.2490935564007,672.7854975885923,0.1851669867100669,0.1851260530770035,67ee457367583908e8ad309e,124.5776632907126,650.0,126.8136976948657,720.0527417999999,699.5842997000001,699.907104,right,672.7854975885923,11.83215283240358,5.075626932112533,6.945550396793287,13.18066329071262,6.017663290712619,8.090663290712598,15.41669769486568,8.253697694865679,10.32669769486566,13.83941910003472,6.961620862740957,8.865107432473716,11.57281295007367,4.409812950073672,6.482812950073651,10.38880126940014,3.71947785937388,5.56526732603093,0.997243316175523,undistorted_GX010080_193_2640,spatial_match
