,pond_type,size,count,mean,median,std,min,max,q25,q75,iqr,mae_total_length,mape_total_length,neutral_count,amplifying_count,compressing_count,neutral_pct,amplifying_pct,compressing_pct
Circle_big,Circle,big,31,0.9787169590136057,0.9440041213443929,0.5770159583216417,0.03172977989279536,2.513164416387138,0.6011324389303261,1.16393500530129,0.5628025663709639,14.529998940035647,8.072221633353136,8,9,14,25.806451612903224,29.03225806451613,45.16129032258064
Circle_small,Circle,small,19,9.717593764076392,0.5943201425510757,25.605004399596982,0.028411737621077734,100.78071362280043,0.46595694495019724,1.8398484615162414,1.3738915165660441,7.524821511567967,5.189532076943426,0,7,12,0.0,36.84210526315789,63.1578947368421
Square_big,Square,big,2,4.857424736209911,4.857424736209911,5.647491528547176,0.864045179680622,8.8508042927392,2.8607349579452666,6.854114514474555,3.993379556529289,5.7294098049868865,3.1830054472149367,0,1,1,0.0,50.0,50.0
Square_small,Square,small,11,0.8749505356359393,0.9318481729525754,0.4990434028506252,0.1713101986769435,1.7221784390496886,0.529925387985491,1.215327623237993,0.685402235252502,9.465446297698602,6.527893998412828,2,4,5,18.181818181818183,36.36363636363637,45.45454545454545
