image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length
colored_undistorted_GX010191_42_457,small,163.9,39.2,3271.1,952.7,873.0,208.7
colored_undistorted_GX010191_43_468,small,154.0,38.6,3086.1,1306.0,820.9,205.6
colored_undistorted_GX010191_44_1368,small,132.9,30.2,4719.2,1211.9,708.8,160.8
colored_undistorted_GX010191_44_478,small,159.0,40.7,3071.8,1666.4,848.1,217.2
colored_undistorted_GX010191_45_1382,big,179.0,39.3,1487.6,1737.1,960.9,210.9
colored_undistorted_GX010191_45_1382,small,137.5,29.9,4766.2,601.9,732.1,159.2
colored_undistorted_GX010191_45_489,small,154.9,40.2,3070.0,2026.6,825.2,214.1
colored_undistorted_GX010191_46_1396,small,159.9,42.0,4097.8,1346.5,841.5,220.7
colored_undistorted_GX010191_46_497,small,157.7,39.5,3220.5,2236.0,839.1,210.0
colored_undistorted_GX010191_47_1410,big,175.9,38.4,4124.5,895.8,945.6,206.4
colored_undistorted_GX010191_47_507,big,167.8,41.0,3399.7,2381.2,905.0,220.9
colored_undistorted_GX010191_47_507,small,148.9,29.9,4647.7,2664.1,786.9,158.3
colored_undistorted_GX010191_48_515,small,127.2,29.2,5027.6,2499.0,675.6,154.9
colored_undistorted_GX010191_49_523,small,157.7,36.0,3981.1,2411.5,832.0,190.1
colored_undistorted_GX010191_50_529,small,160.4,37.5,4299.1,2437.1,844.3,197.2
colored_undistorted_GX010191_51_535,small,159.0,35.2,1999.6,1265.5,838.0,185.3
colored_undistorted_GX010191_5_190,big,193.8,41.5,3671.0,622.4,1049.1,224.5
colored_undistorted_GX010191_5_190,small,172.0,39.1,3657.7,545.9,917.3,208.5
colored_undistorted_GX010191_6_219,small,161.3,33.9,3798.2,1075.6,859.9,180.7
colored_undistorted_GX010191_88_1016,big,187.5,40.0,3254.0,575.4,1014.3,216.7
colored_undistorted_GX010191_89_1024,big,172.5,36.8,3199.4,651.8,931.7,198.7
colored_undistorted_GX010191_89_1024,small,175.2,37.3,3199.4,651.8,931.7,198.7
colored_undistorted_GX010191_8_309,big,177.0,36.8,3907.6,2309.3,958.2,198.9
colored_undistorted_GX010191_8_309,small,150.3,34.6,2879.4,1465.9,790.1,181.9
colored_undistorted_GX010191_90_1036,big,168.1,39.9,3224.6,810.1,905.5,214.7
colored_undistorted_GX010191_90_1036,small,170.7,40.5,3224.6,810.1,905.5,214.7
colored_undistorted_GX010191_91_1066,big,163.4,39.6,3304.7,1111.5,877.9,212.9
colored_undistorted_GX010191_91_1066,small,166.0,40.2,3304.7,1111.5,877.9,212.9
colored_undistorted_GX010191_92_1087,big,163.0,35.1,3352.3,1451.9,874.8,188.5
colored_undistorted_GX010191_92_1087,small,165.5,35.7,3352.3,1451.9,874.8,188.5
colored_undistorted_GX010191_93_1112,big,172.9,39.8,3553.7,1647.7,929.6,214.3
colored_undistorted_GX010191_93_1112,small,148.2,35.5,3472.8,286.8,780.9,187.0
colored_undistorted_GX010191_94_1132,small,122.8,31.1,3437.3,515.2,645.5,163.2
colored_undistorted_GX010191_95_1157,big,183.2,43.6,4046.8,1824.9,991.5,235.8
colored_undistorted_GX010191_95_1157,small,132.9,31.1,3318.0,641.0,696.9,163.2
colored_undistorted_GX010191_97_1190,small,142.3,33.3,3165.1,762.8,748.6,175.2
colored_undistorted_GX010191_98_1211,small,168.0,36.7,4627.9,1062.2,891.3,194.5
colored_undistorted_GX010191_99_1233,big,175.6,40.6,4383.7,934.5,942.1,217.9
colored_undistorted_GX010191_99_1233,small,147.2,34.0,3004.2,1128.7,780.4,180.4
