image_name,prawn_id,meas_1,meas_2,meas_3,avg,std,dev_pct,flag
undistorted_GX010067_33_625.jpg_gamma_obj1_cropped0.272177_0.696292,1.jpg,254.4425,254.1201,247.0324,254.2813,2.9,OK

undistorted_GX010068_26_666.jpg_gamma_obj1_cropped0.540877_0.669256,1.jpg,232.5683,227.7543,234.8297,230.1613,2.0,OK

undistorted_GX010068_27_795.jpg_gamma_obj1_cropped0.552035_0.17379999999999998,1.jpg,227.2202,228.7903,228.5607,228.0052,0.2,OK

undistorted_GX010069_19_191.jpg_gamma_obj1_cropped0.165613_0.393015,1.jpg,193.2046,192.0052,194.5508,192.6049,1.0,OK

undistorted_GX010069_53_796.jpg_gamma_obj1_cropped0.63723_0.18312999999999996,1.jpg,222.0023,226.0199,221.0362,224.0111,1.3,OK

undistorted_GX010071_22_444.jpg_gamma_obj1_cropped0.157858_0.757993,1.jpg,235.1042,230.1065,229.107,232.6054,1.5,OK

undistorted_GX010073_42_695.jpg_gamma_obj1_cropped0.233215_0.16234,1.jpg,148.9497,148.8388,148.4049,148.8942,0.3,OK

undistorted_GX010073_55_1014.jpg_gamma_obj1_cropped0.589214_0.213622,1.jpg,229.0786,231.0087,230,230.0436,0.0,OK

undistorted_GX010077_14_237.jpg_gamma_obj1_cropped0.807605_0.751737,1.jpg,222.7667,218.0734,217.5592,220.42,1.3,OK

undistorted_GX010080_157_2283.jpg_gamma_obj1_cropped0.318029_0.7344440000000001,1.jpg,236.3155,235.8686,235.3083,236.092,0.3,OK

undistorted_GX010080_193_2640.jpg_gamma_obj1_cropped0.641363_0.187963,1.jpg,199.3239,196.0867,197.6993,197.7053,0.0,OK

undistorted_GX010080_212_2954.jpg_gamma_obj1_cropped0.715335_0.24153,1.jpg,211.8797,210.2308,211.6979,211.0553,0.3,OK

undistorted_GX010080_237_3366.jpg_gamma_obj1_cropped0.786939_0.100473,1.jpg,179.9611,176.5814,173.3667,178.2713,2.8,OK

undistorted_GX010080_238_3392.jpg_gamma_obj1_cropped0.473451_0.308475,1.jpg,209.7546,214.4621,215.2324,212.1084,1.5,OK

undistorted_GX010080_238_3392.jpg_gamma_obj6_cropped0.575557_0.0703528,1.jpg,180.6239,182.6499,183.0027,181.6369,0.8,OK

undistorted_GX010082_236_3137.jpg_gamma_obj1_cropped0.476971_0.301475,1.jpg,208.4706,211.6034,214.8325,210.037,2.3,OK

undistorted_GX010082_53_796.jpg_gamma_obj1_cropped0.723353_0.425668,1.jpg,246.3331,250.8326,247.8911,248.5829,0.3,OK

undistorted_GX010082_65_1070.jpg_gamma_obj1_cropped0.8137599999999999_0.256097,1.jpg,212.0024,212.577,217.175,212.2897,2.3,OK

undistorted_GX010082_8_59.jpg_gamma_obj1_cropped0.467129_0.147647,1.jpg,216.9263,210.5232,209.8976,213.7247,1.8,OK

undistorted_GX010082_8_59.jpg_gamma_obj6_cropped0.259021_0.829126,1.jpg,171.4701,176.1732,170.1881,173.8217,2.1,OK

undistorted_GX010084_130_1748.jpg_gamma_obj1_cropped0.176565_0.634902,1.jpg,191.9505,193.5355,193.6801,192.743,0.5,OK

undistorted_GX010084_30_344.jpg_gamma_obj1_cropped0.810401_0.21446000000000004,1.jpg,197.4259,192.0963,189.9079,194.7611,2.5,OK

undistorted_GX010088_209_2904.jpg_gamma_obj1_cropped0.706544_0.162394,1.jpg,210.0857,206.0097,202.1213,208.0477,2.8,OK

undistorted_GX010088_262_3712.jpg_gamma_obj1_cropped0.622377_0.7377740000000002,1.jpg,241.6113,240.4163,234.2008,241.0138,2.8,OK

undistorted_GX010088_327_4364.jpg_gamma_obj1_cropped0.10054299999999998_0.59776,1.jpg,214.9721,216.0046,213.6539,215.4884,0.9,OK

undistorted_GX010089_11_236.jpg_gamma_obj1_cropped0.856459_0.40323700000000007,1.jpg,154.3308,150.2831,154.6512,152.3069,1.5,OK

undistorted_GX010090_132_1852.jpg_gamma_obj1_cropped0.290046_0.866326,1.jpg,194.4351,194.6587,189.676,194.5469,2.5,OK

undistorted_GX010091_5_149.jpg_gamma_obj1_cropped0.48227499999999995_0.498148,1.jpg,196.2065,198.6454,199.3615,197.426,1.0,OK

undistorted_GX010091_5_149.jpg_gamma_obj6_cropped0.46567000000000003_0.839688,1.jpg,61.2699,61.4003,60.4152,61.3351,1.5,OK

undistorted_GX010094_24_430.jpg_gamma_obj1_cropped0.736605_0.309247,1.jpg,218.1605,219.4561,223.9866,218.8083,2.4,OK

undistorted_GX010094_9_129.jpg_gamma_obj1_cropped0.409259_0.942629,1.jpg,238.7237,240.8423,236.4847,239.783,1.4,OK

undistorted_GX010097_105_1651.jpg_gamma_obj1_cropped0.511395_0.17872,1.jpg,217.3131,216.8317,218.4033,217.0724,0.6,OK

undistorted_GX010097_124_1870.jpg_gamma_obj1_cropped0.329382_0.313961,1.jpg,207.3282,207.1256,210.0976,207.2269,1.4,OK

undistorted_GX010097_32_528.jpg_gamma_obj1_cropped0.661415_0.316431,1.jpg,108.6692,110.8603,110.44,109.7647,0.6,OK

undistorted_GX010097_60_1080.jpg_gamma_obj1_cropped0.359558_0.734083,1.jpg,125.6423,128.969,125.3635,127.3057,1.5,OK

undistorted_GX010102_9_165.jpg_gamma_obj1_cropped0.448036_0.216305,1.jpg,154.7676,158.373,159.6152,156.5703,1.9,OK

undistorted_GX010105_28_816.jpg_gamma_obj1_cropped0.647012_0.216644,1.jpg,115.5206,118.5622,116.9316,117.0414,0.1,OK

undistorted_GX010152_36_378.jpg_gamma_obj1_cropped0.118061_0.557063,1.jpg,238.5162,235.3147,235.7626,236.9155,0.5,OK

undistorted_GX010155_18_219.jpg_gamma_obj1_cropped0.348378_0.582551,1.jpg,206.3201,205.9369,211.0261,206.1285,2.4,OK

undistorted_GX010178_107_2118_obj1_cropped0.655757_0.413577,1.jpg,333.3377,325.4443,328.6092,329.391,0.2,OK

undistorted_GX010178_189_3987.jpg_gamma_obj1_cropped0.312475_0.136874,1.jpg,241.8781,239.3658,237.4974,240.6219,1.3,OK

undistorted_GX010179_200_3927.jpg_gamma_obj1_cropped0.544078_0.267049,1.jpg,292.638,293.3189,288.5221,292.9785,1.5,OK

undistorted_GX010180_99_1788_obj1_cropped0.0512686_0.506643,1.jpg,263.6968,270.6917,259.4802,267.1943,2.9,OK

undistorted_GX010183_128_2852.jpg_gamma_obj1_cropped0.10659999999999999_0.73272,1.jpg,195.1256,199.2034,194.4351,197.1645,1.4,OK

undistorted_GX010183_37_685.jpg_gamma_obj1_cropped0.8260990000000001_0.354157,1.jpg,186.7619,186.5101,183.6355,186.636,1.6,OK

