Pond Type,Count,MAE Total (mm),MAE Carapace (mm),MAPE Total (%),MAPE Carapace (%),Pixel Error (px),Scale Error (%)
Circle,18,4.363765856897942,5.908041046031595,3.009493694412374,14.409856209833158,27.242975554482825,5.360266869526553
Square,9,9.742015821072641,8.170809914818804,6.718631600739752,19.928804670289765,79.2798512200909,9.510361483456128
Overall,27,5.7907969526523,7.0691408273682015,3.9936530707946902,17.241806896020005,44.92010198295577,5.919996549007181
