image_name,pond_type,metric,value,total_length_mm,carapace_length_mm,pixel_error,shai_iou,keypoints_valid,lower_bound,upper_bound
undistorted_GX010191_106_1320.jpg,Circle,total_error_mm,-106.78985640108209,38.2101435989179,10.112468746305249,538.024110672837,0.0836836892437414,4,-33.995531404847874,24.721464543096793
undistorted_GX010191_110_1355.jpg,Circle,total_error_mm,-112.40485017118922,32.59514982881077,7.821599457593754,554.2122161421221,0.4906720944732868,4,-33.995531404847874,24.721464543096793
undistorted_GX010191_14_460.jpg,Circle,total_error_mm,-38.00664069371646,106.99335930628354,26.559887146861456,247.38708257815154,0.0194951241527878,4,-33.995531404847874,24.721464543096793
undistorted_GX010191_41_1322.jpg,Circle,total_error_mm,-54.6996254666352,90.3003745333648,21.563525556515017,291.0467148261195,0.2056013502735137,4,-33.995531404847874,24.721464543096793
undistorted_GX010191_42_457.jpg,Circle,total_error_mm,-48.29028987646984,96.70971012353016,19.15682097191834,276.48888618986297,0.1120505441908291,4,-33.995531404847874,24.721464543096793
undistorted_GX010191_106_1320.jpg,Circle,carapace_error_mm,-30.887531253694753,38.2101435989179,10.112468746305249,538.024110672837,0.0836836892437414,4,-16.488316200944556,1.0021934166116795
undistorted_GX010191_110_1355.jpg,Circle,carapace_error_mm,-33.178400542406244,32.59514982881077,7.821599457593754,554.2122161421221,0.4906720944732868,4,-16.488316200944556,1.0021934166116795
undistorted_GX010191_41_1322.jpg,Circle,carapace_error_mm,-19.436474443484983,90.3003745333648,21.563525556515017,291.0467148261195,0.2056013502735137,4,-16.488316200944556,1.0021934166116795
undistorted_GX010191_42_457.jpg,Circle,carapace_error_mm,-21.84317902808166,96.70971012353016,19.15682097191834,276.48888618986297,0.1120505441908291,4,-16.488316200944556,1.0021934166116795
undistorted_GX010191_106_1320.jpg,Circle,pixel_error,538.024110672837,38.2101435989179,10.112468746305249,538.024110672837,0.0836836892437414,4,-146.8676303724907,315.5609723666706
undistorted_GX010191_110_1355.jpg,Circle,pixel_error,554.2122161421221,32.59514982881077,7.821599457593754,554.2122161421221,0.4906720944732868,4,-146.8676303724907,315.5609723666706
