index,image_name,pond_type,manual_size,calculated_total_length_mm,real_length,individual_mae,individual_mape,total_length_pixels,shai_length,pixel_difference_pct,measurement_difference_pct,scale_impact_ratio_rho,shai_iou
1,undistorted_GX010191_8_309.jpg,Circle,big,179.7200805582247,180,0.2799194417752915,0.15551080098627307,958.1876209279772,913.42,4.901099267366293,0.155510800986273,0.0317297798927953,0.3372997684555138
2,undistorted_GX010191_37_1242.jpg,Circle,big,181.31969643231488,180,1.3196964323148848,0.7331646846193804,956.1972802740034,982.356,2.662855393156508,0.7331646846193804,0.2753302663387583,0.6334039920396253
3,undistorted_GX010191_118_1415.jpg,Circle,big,171.0577669656087,180,8.942233034391307,4.967907241328504,907.9658974440846,1038.599,12.577819019266853,4.967907241328504,0.3949736622635931,0.7567868394717457
4,undistorted_GX010191_5_190.jpg,Circle,big,172.04831079608886,180,7.951689203911144,4.417605113283969,917.3326427107684,1028.778,10.832789706742515,4.417605113283969,0.4077993972812354,0.1102170997876639
5,undistorted_GX010191_105_1312.jpg,Circle,big,174.22967657401466,180,5.770323425985339,3.205735236658522,924.5899460049028,992.677,6.858933368567732,3.205735236658522,0.467381014568441,0.509707640458371
6,undistorted_GX010191_17_509.jpg,Circle,big,174.88422199677888,180,5.1157780032211235,2.842098890678402,928.0286140802737,876.511,5.877577586621682,2.842098890678402,0.4835493617553393,0.4413967134816638
7,undistorted_GX010191_90_1036.jpg,Circle,big,170.72947985190058,180,9.270520148099422,5.150288971166345,905.4591918166938,1008.801,10.244023170407868,5.150288971166345,0.5027603789538564,0.6892967370833738
8,undistorted_GX010191_100_1250.jpg,Circle,big,164.66392728325908,180,15.336072716740915,8.520040398189398,867.0641107774891,1016.921,14.73633539109832,8.520040398189398,0.5781654781918197,0.6129162494401258
9,undistorted_GX010191_36_1195.jpg,Circle,big,172.89735498328247,180,7.102645016717531,3.945913898176406,919.9947710930568,982.088,6.322572814955818,3.945913898176406,0.6240993996688325,0.6250003562436621
10,undistorted_GX010191_42_457.jpg,Circle,big,163.87472253178862,180,16.12527746821138,8.958487482339656,872.9780506477881,1011.905,13.729248234983707,8.958487482339656,0.6525111447480713,0.4786990091930062
11,undistorted_GX010191_117_1408.jpg,Circle,big,168.936412438593,180,11.06358756140699,6.146437534114995,893.410137538574,978.897,8.732978286931727,6.146437534114995,0.7038191705242981,0.6661534600078569
12,undistorted_GX010191_101_1265.jpg,Circle,big,159.315497672449,180,20.684502327551,11.491390181972779,835.5602949616406,993.161,15.868595830722246,11.49139018197278,0.7241592327737645,0.1445063125747327
13,undistorted_GX010191_38_1266.jpg,Circle,big,146.29750604042198,180,33.70249395957802,18.723607755321122,767.2715443972003,1000.8,23.334178217705805,18.72360775532112,0.8024112775959594,0.1252110128569157
14,undistorted_GX010191_32_305.jpg,Circle,big,191.48982438551707,180,11.489824385517068,6.383235769731704,1020.7552641966088,947.738,7.70437232617122,6.383235769731704,0.828521195431884,0.3296960279361446
15,undistorted_GX010191_94_1132.jpg,Circle,big,156.7199847177234,180,23.280015282276594,12.933341823486996,831.9949482819594,970.979,14.313806139786816,12.933341823486996,0.9035571459597552,0.7275558925415175
16,undistorted_GX010191_14_460.jpg,Circle,big,162.48565885432174,180,17.51434114567826,9.73018952537681,865.8936516145861,965.401,10.30735915805078,9.73018952537681,0.9440041213443928,0.412686436486933
17,undistorted_GX010191_46_1396.jpg,Circle,big,159.88605217524986,180,20.11394782475014,11.174415458194522,841.5220415001435,953.889,11.77987779499046,11.174415458194522,0.948601984898908,0.5920544887533216
18,undistorted_GX010191_106_1320.jpg,Circle,big,150.42062603261687,180,29.579373967383134,16.432985537435073,801.7510026467779,964.697,16.890899147942005,16.432985537435073,0.972889920986668,0.3431580563436011
19,undistorted_GX010191_41_1322.jpg,Circle,big,169.01932976895307,180,10.980670231046929,6.100372350581627,901.1996411935183,959.041,6.031166426303121,6.100372350581627,1.011474716395934,0.2862791518544784
20,undistorted_GX010191_34_350.jpg,Circle,big,175.36478272821506,180,4.6352172717849385,2.575120706547188,928.868578161453,952.68,2.4994144769016824,2.575120706547188,1.0302895859590893,0.6482211595861651
21,undistorted_GX010191_10_370.jpg,Circle,big,144.6603256497641,180,35.339674350235896,19.63315241679772,762.6233591331093,939.191,18.79997155710508,19.63315241679772,1.0443181978846003,0.6171993740055675
22,undistorted_GX010191_34_1128.jpg,Circle,big,169.7001816886987,180,10.299818311301294,5.722121284056274,900.1822773651658,950.486,5.292421207133428,5.722121284056274,1.081191587008168,0.6657430711339486
23,undistorted_GX010191_35_1167.jpg,Circle,big,200.4505566078768,180,20.45055660787679,11.361420337709328,1068.9303997853162,970.979,10.087900952061393,11.361420337709328,1.1262422571057955,0.1574492002425863
24,undistorted_GX010191_42_1339.jpg,Circle,big,166.62316172793976,180,13.37683827206024,7.431576817811244,886.4120725347757,944.847,6.184591522778216,7.431576817811244,1.2016277534967843,0.4858674323489734
25,undistorted_GX010191_110_1355.jpg,Circle,big,162.3959904117271,180,17.604009588272902,9.78000532681828,857.3142460310869,928.31,7.647849745118878,9.78000532681828,1.278791510392868,0.5690761685803443
26,undistorted_GX010191_15_479.jpg,Circle,big,159.43807230643418,180,20.56192769356582,11.423293163092122,850.242697141876,932.009,8.773123742166014,11.423293163092122,1.3020781991468642,0.0134271426377708
27,undistorted_GX010191_47_507.jpg,Circle,big,170.34332746913452,180,9.656672530865478,5.364818072703043,904.9633485855684,872.624,3.7059889007829674,5.364818072703043,1.4476077010294377,0.5001960306642745
