image_name,pond_type,manual_size,shai_length,total_length_pixels,calculated_total_length_mm,real_length,pixel_difference_pct,measurement_difference_pct,scale_impact_ratio_rho,shai_iou
undistorted_GX010191_100_1250.jpg,Circle,big,1016.921,867.0641107774891,164.66392728325908,180,14.73633539109832,8.520040398189398,0.5781654781918197,0.6129162494401258
undistorted_GX010191_100_1250.jpg,Circle,small,732.732,739.3980623068493,142.96076043130563,145,0.9097544950745038,1.4063721163409448,1.5458809205727209,0.2449781607121193
undistorted_GX010191_101_1265.jpg,Circle,big,993.161,835.5602949616406,159.315497672449,180,15.868595830722246,11.491390181972779,0.7241592327737645,0.1445063125747327
undistorted_GX010191_105_1312.jpg,Circle,big,992.677,924.5899460049029,174.22967657401466,180,6.858933368567732,3.205735236658522,0.46738101456844106,0.509707640458371
undistorted_GX010191_105_1312.jpg,Circle,small,694.447,720.2902157549067,141.36395632455702,145,3.721409373920074,2.507616327891708,0.6738351188840653,0.3065104808098847
undistorted_GX010191_106_1320.jpg,Circle,big,964.697,801.7510026467779,150.42062603261687,180,16.890899147942005,16.432985537435073,0.9728899209866679,0.3431580563436011
undistorted_GX010191_10_370.jpg,Circle,small,696.161,732.8404299744321,141.9885567325557,145,5.268814250501277,2.07685742582365,0.3941792834366968,0.4117269660037729
undistorted_GX010191_10_370.jpg,Circle,big,939.191,762.6233591331093,144.6603256497641,180,18.79997155710508,19.63315241679772,1.0443181978846003,0.6171993740055675
undistorted_GX010191_110_1355.jpg,Circle,big,928.31,857.3142460310869,162.3959904117271,180,7.647849745118878,9.78000532681828,1.278791510392868,0.5690761685803443
undistorted_GX010191_114_1383.jpg,Circle,small,814.607,772.2901670780234,149.47665339888115,145,5.194754393465387,3.0873471716421754,0.5943201425510757,0.4203727342369112
undistorted_GX010191_117_1408.jpg,Circle,big,978.897,893.410137538574,168.936412438593,180,8.732978286931727,6.146437534114995,0.7038191705242981,0.6661534600078569
undistorted_GX010191_118_1415.jpg,Circle,big,1038.599,907.9658974440846,171.0577669656087,180,12.577819019266853,4.967907241328504,0.39497366226359315,0.7567868394717457
undistorted_GX010191_14_460.jpg,Circle,big,965.401,865.8936516145861,162.48565885432174,180,10.307359158050781,9.73018952537681,0.9440041213443929,0.412686436486933
undistorted_GX010191_14_460.jpg,Circle,small,792.01,544.6229174218485,106.99335930628354,145,31.235348364054943,26.211476340494112,0.839160685355371,0.0194951241527878
undistorted_GX010191_15_479.jpg,Circle,big,932.009,850.242697141876,159.43807230643418,180,8.773123742166014,11.423293163092122,1.3020781991468642,0.0134271426377708
undistorted_GX010191_16_495.jpg,Circle,big,913.77,835.7583948549596,157.00099255338196,180,8.537334903207627,12.777226359232245,1.4966293936098976,0.4295593167336609
undistorted_GX010191_17_509.jpg,Circle,big,876.511,928.0286140802735,174.88422199677888,180,5.877577586621682,2.842098890678402,0.4835493617553393,0.4413967134816638
undistorted_GX010191_17_509.jpg,Circle,small,705.238,730.9446726186796,142.32456477200512,145,3.6451059952355926,1.8451277434447462,0.5061931658109412,0.4783817646316528
undistorted_GX010191_28_230.jpg,Circle,small,801.568,778.5778644826086,152.68408476241234,145,2.8681453747394383,5.299368801663682,1.8476639463036677,0.4831213152135837
undistorted_GX010191_28_230.jpg,Circle,big,1023.945,1072.2799519120417,201.14995525862355,180,4.7204636881904465,11.74997514367975,2.4891569811405567,0.2880441193186033
undistorted_GX010191_32_305.jpg,Circle,small,789.795,786.2897403707153,154.2304013017139,145,0.44381891874279245,6.365794001181999,14.343223626461008,0.4271031397808782
undistorted_GX010191_32_305.jpg,Circle,big,947.738,1020.7552641966087,191.48982438551707,180,7.70437232617122,6.383235769731704,0.828521195431884,0.3296960279361446
undistorted_GX010191_34_1128.jpg,Circle,big,950.486,900.1822773651658,169.7001816886987,180,5.292421207133428,5.722121284056274,1.0811915870081679,0.6657430711339486
undistorted_GX010191_34_1128.jpg,Circle,small,797.847,689.1874195991971,135.05423573298046,145,13.61909995284846,6.8591477703583035,0.5036417820638507,0.5634440887525412
undistorted_GX010191_34_350.jpg,Circle,small,721.92,766.8401019829557,149.25087831491473,145,6.222310225919184,2.9316402171825717,0.4711497997915233,0.4248155904873611
undistorted_GX010191_34_350.jpg,Circle,big,952.68,928.868578161453,175.36478272821506,180,2.4994144769016824,2.575120706547188,1.0302895859590893,0.6482211595861651
undistorted_GX010191_35_1167.jpg,Circle,big,970.979,1068.9303997853162,200.4505566078768,180,10.087900952061393,11.361420337709328,1.1262422571057957,0.1574492002425863
undistorted_GX010191_35_1167.jpg,Circle,small,770.049,759.3714355230852,149.17215547761506,145,1.3866084465942774,2.8773486052517683,2.075098137703529,0.3015885534294614
undistorted_GX010191_35_367.jpg,Circle,big,926.102,905.3218264955549,171.63386974160875,180,2.2438320513771797,4.647850143550696,2.0713894966862694,0.6257999596840783
undistorted_GX010191_35_367.jpg,Circle,small,706.473,752.6940757695772,146.12926764887436,145,6.542511287703463,0.7788052750857661,0.1190376662474419,0.345880875171258
undistorted_GX010191_36_1195.jpg,Circle,small,769.259,740.6162646459411,144.84660623686395,145,3.7234189465523206,0.1057888021627942,0.028411737621077734,0.5815294242285899
undistorted_GX010191_36_1195.jpg,Circle,big,982.088,919.9947710930567,172.89735498328247,180,6.322572814955818,3.945913898176406,0.6240993996688325,0.6250003562436621
undistorted_GX010191_37_1242.jpg,Circle,big,982.356,956.1972802740034,181.31969643231488,180,2.662855393156508,0.7331646846193804,0.27533026633875834,0.6334039920396253
