Pond Type,Sample Size,MAE Total (mm),MAE Carapace (mm),MAPE Total (%),MAPE Carapace (%),Pixel Error (px),Scale Error (%)
Circle,17,5.086411816365345,6.327830862430085,3.507870218182996,15.433733810805089,32.99773541634583,3.507870218182996
Square,11,9.465446297698602,8.048753629048088,6.527893998412828,19.631106412312405,102.53844561658875,6.527893998412828
Overall,28,6.806746791174839,7.003907663601443,4.694308131844716,17.082701618540103,60.317300137869836,4.694308131844716
