image_name,manual_size,manual_bbox_x,manual_bbox_y,manual_bbox_width,manual_bbox_height,manual_bbox_x_mm,manual_bbox_y_mm,manual_bbox_width_mm,manual_bbox_height_mm,shai_matched,shai_iou,shai_length,shai_bbox_x,shai_bbox_y,shai_bbox_width,shai_bbox_height,keypoints_available,start_carapace_x,start_carapace_y,eyes_x,eyes_y,rostrum_x,rostrum_y,tail_x,tail_y,keypoints_score,keypoints_inside_bbox,keypoints_valid_total,calculated_total_length_mm,calculated_carapace_length_mm,pond_type,reference_total_length,reference_carapace_length,rostrum_x_px,rostrum_y_px,tail_x_px,tail_y_px,total_length_pixels,start_carapace_x_px,start_carapace_y_px,eyes_x_px,eyes_y_px,carapace_length_pixels,total_length_error_mm,total_length_error_pct,carapace_length_error_mm,carapace_length_error_pct,pixel_difference,pixel_difference_pct,total_length_category,carapace_length_category
undistorted_GX010191_100_1250.jpg,small,0.49891185,0.3125179999999999,0.0844743,0.300722,2650.2197472,933.8037839999998,448.7274816,898.557336,True,0.2449781607121193,732.732,2776,1088,137,721,True,0.537236,0.473996,0.545478,0.409881,0.55203,0.354434,0.522648,0.596314,1.0,4,4,142.96076043130563,37.99890015109579,Circle,145,41,2932.3833600000003,1059.048792,2776.306176,1781.786232,739.3980623068493,2853.7976320000002,1416.3000479999998,2897.5791360000003,1224.724428,196.5147278727128,2.03923956869437,1.4063721163409448,3.001099848904211,7.319755729034661,6.666062306849312,0.9097544950745038,Excellent (≤5%),Good (5-10%)
undistorted_GX010191_105_1312.jpg,small,0.537309,0.692173,0.145762,0.116882,2854.1854080000003,2068.212924,774.287744,349.243416,True,0.3065104808098847,694.447,2920,2156,685,121,True,0.610453,0.738066,0.576995,0.725029,0.543796,0.711583,0.675244,0.770757,1.0,4,4,141.36395632455702,35.71750369166954,Circle,145,41,2888.644352,2126.210004,3586.896128,2303.021916,720.2902157549067,3242.726336,2205.341208,3064.99744,2166.386652,181.94784391834918,3.636043675442977,2.507616327891708,5.282496308330458,12.88413733739136,25.843215754906737,3.721409373920074,Excellent (≤5%),Fair (10-15%)
undistorted_GX010191_10_370.jpg,small,0.5722181000000001,0.520516,0.0847878,0.288734,3039.622547200001,1555.301808,450.3927936,862.7371919999999,True,0.4117269660037729,696.161,3092,1716,245,653,True,0.613129,0.659153,0.626594,0.602526,0.640697,0.557746,0.584186,0.781487,1.0,4,4,141.9885567325557,35.58203089724541,Circle,145,41,3403.382464,1666.545048,3103.196032,2335.083156,732.8404299744321,3256.941248,1969.549164,3328.4673279999997,1800.347688,183.69844746416587,3.0114432674442924,2.07685742582365,5.41796910275459,13.214558787206318,36.679429974432196,5.268814250501277,Excellent (≤5%),Fair (10-15%)
undistorted_GX010191_114_1383.jpg,small,0.846176,0.0187885,0.100134,0.301971,4494.886912,56.14003800000004,531.911808,902.289348,True,0.4203727342369112,814.607,4616,104,261,773,True,0.900443,0.174369,0.911019,0.22765,0.916785,0.278349,0.869377,0.0340125,1.0,4,4,149.47665339888115,32.678532287469416,Circle,145,41,4869.96192,831.706812,4618.130623999999,101.62935,772.2901670780234,4783.153216,521.014572,4839.332928,680.2182,168.82522089061615,4.4766533988811545,3.0873471716421754,8.321467712530584,20.29626271348923,42.316832921976584,5.194754393465387,Excellent (≤5%),Very Poor (>20%)
undistorted_GX010191_17_509.jpg,small,0.827467,0.748856,0.130222,0.251144,4395.504704,2237.581728,691.739264,750.4182719999999,True,0.4783817646316528,705.238,4500,2340,473,525,True,0.885561,0.883168,0.865833,0.920663,0.846455,0.968027,0.940054,0.788712,1.0,4,4,142.32456477200512,29.872447941910774,Circle,145,41,4496.36896,2892.464676,4993.5668479999995,2356.671456,730.9446726186796,4704.100032,2638.905984,4599.304896,2750.941044,153.40754609360735,2.675435227994882,1.8451277434447462,11.127552058089226,27.140370873388353,25.70667261867959,3.6451059952355926,Excellent (≤5%),Very Poor (>20%)
undistorted_GX010191_28_230.jpg,small,0.433761,0.0388685,0.175088,0.186297,2304.138432,116.139078,930.067456,556.655436,True,0.4831213152135837,801.568,2348,240,725,345,True,0.512238,0.129768,0.545834,0.114006,0.57875,0.097762,0.4403,0.183285,1.0,4,4,152.68408476241234,36.22113439884511,Circle,145,41,3074.3199999999997,292.112856,2338.8736000000004,547.65558,778.5778644826086,2721.008256,387.746784,2899.470208,340.649928,184.5718888583391,7.68408476241234,5.299368801663682,4.778865601154891,11.655769758914367,22.990135517391423,2.8681453747394383,Good (5-10%),Fair (10-15%)
undistorted_GX010191_32_305.jpg,small,0.4638745,0.3987345,0.170681,0.177395,2464.101344,1191.418686,906.657472,530.05626,True,0.4271031397808782,789.795,2516,1328,741,277,True,0.545391,0.486664,0.579686,0.471219,0.613423,0.455759,0.472558,0.536592,1.0,4,4,154.2304013017139,36.88298314315062,Circle,145,41,3258.502976,1361.807892,2510.228096,1603.3368959999998,786.2897403707153,2897.1169919999998,1454.152032,3079.2920320000003,1408.002372,187.9296046851517,9.230401301713897,6.365794001181999,4.117016856849382,10.041504528900932,3.5052596292846374,0.44381891874279245,Good (5-10%),Fair (10-15%)
undistorted_GX010191_34_1128.jpg,small,0.5648630000000001,0.0832989999999999,0.160068,0.159086,3000.5522560000004,248.89741199999995,850.281216,475.348968,True,0.5634440887525412,797.847,3060,292,737,309,True,0.643595,0.151031,0.672845,0.175345,0.704744,0.200278,0.585306,0.110198,1.0,4,4,135.05423573298046,33.59678164375741,Circle,145,41,3743.600128,598.430664,3109.145472,329.27162400000003,689.1874195991971,3418.77664,451.280628,3574.1526400000002,523.93086,171.52188660825152,9.945764267019541,6.8591477703583035,7.40321835624259,18.05663013717705,108.65958040080284,13.61909995284846,Good (5-10%),Poor (15-20%)
undistorted_GX010191_34_350.jpg,small,0.5105759999999999,0.501272,0.138956,0.278176,2712.1797119999997,1497.800736,738.134272,831.1898879999999,True,0.4248155904873611,721.92,2796,1692,489,533,True,0.588132,0.648881,0.609527,0.601142,0.625988,0.558262,0.530508,0.75075,1.0,4,4,149.25087831491473,35.46827938959569,Circle,145,41,3325.248256,1668.0868560000001,2818.058496,2243.241,766.8401019829557,3124.157184,1938.856428,3237.807424,1796.212296,182.3834571612542,4.250878314914729,2.9316402171825717,5.531720610404307,13.492001488790992,44.92010198295577,6.222310225919184,Excellent (≤5%),Fair (10-15%)
undistorted_GX010191_35_1167.jpg,small,0.5325925,0.163945,0.155717,0.127616,2829.1313600000003,489.86766,827.1687039999999,381.316608,True,0.3015885534294614,770.049,2844,644,761,125,True,0.614228,0.228891,0.64759,0.228624,0.681728,0.227901,0.539053,0.24377,1.0,4,4,149.17215547761506,34.815746836611524,Circle,145,41,3621.339136,680.9681879999999,2863.449536,728.3847599999999,759.3714355230852,3262.779136,683.9263080000001,3439.99808,683.128512,177.22073973136625,4.172155477615064,2.8773486052517683,6.184253163388476,15.083544300947501,10.677564476914768,1.3866084465942774,Excellent (≤5%),Poor (15-20%)
