,image_path,index,pond,smaller,true_length,center,Hull_Length_pixels,Diameter_pixels,Skeleton_Length_pixels,Box_Length_pixels,Focal_Box,Focal_Hull,Focal_MEC,Focal_Skeleton,Hull_Length_fov,Diameter_fov,Skeleton_Length_fov,Box_Length_fov,MAE_Hull_fov,MAE_Skeleton_fov,MAE_Box_fov,MAE_MEC_fov,Error_percentage_Hull_fov,Error_percentage_Skeleton_fov,Error_percentage_Box_fov,Error_percentage_MEC_fov,Error_percentage_Hull_focal,Error_percentage_Skeleton_focal,Error_percentage_Box_focal,Error_percentage_MEC_focal
237,undistorted_GX010193_7_360.jpg,2,square,no,143.0,"[304.93299369352405, 284.91163874246985]",1501.772554082124,1501.939208984375,939.6978344127435,1477.4932554837603,162.81158033532373,165.48702467969642,165.50538912765947,103.54950108271527,164.8694397628978,164.8877356761459,103.16306226592896,162.20397997215412,21.869439762897798,39.83693773407104,19.203979972154116,21.887735676145894,15.29331451950895,27.85799841543429,13.429356623883997,15.306108864437688,15.72519208370379,27.587761480618695,13.854251982743865,15.738034355006622
238,undistorted_GX010193_7_360.jpg,3,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,undistorted_GX010194_15_231.jpg,0,square,no,180.0,"[455.96385542168673, 198.433734939759]",1860.7738775911093,1860.93359375,1779.8807656694312,1860.7741104174897,196.9530485796772,196.9530239362424,196.96992904268433,188.390918029418,196.21801031728145,196.23485233515933,187.68785753472358,196.21803486874882,16.218010317281454,7.687857534723577,16.218034868748816,16.23485233515933,9.01000573182303,4.27103196373532,9.01001937152712,9.01936240842185,9.418346631245779,4.661621127454446,9.418360322042881,9.427738357046849
240,undistorted_GX010194_15_231.jpg,1,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,undistorted_GX010194_15_231.jpg,2,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,undistorted_GX010194_16_240.jpg,0,square,no,180.0,"[431.17031602974396, 184.63081819465359]",1792.8383742004996,1793.2982177734375,1660.082997925104,1795.9481618354134,190.0915665067969,189.76241201582314,189.81108401370446,175.7109611027862,189.05423321048698,189.1027235681955,175.05522123735986,189.38215932207987,9.054233210486984,4.944778762640141,9.382159322079872,9.1027235681955,5.030129561381658,2.747099312577856,5.212310734488818,5.0570686489975,5.423562231012858,2.382799387341,5.606425837109394,5.450602229835811
243,undistorted_GX010194_17_257.jpg,0,square,no,143.0,"[211.77731433546685, 98.33968197006776]",1548.4560844069554,1549.635986328125,1474.319259861988,1310.1649247327607,144.37292427829684,170.6312913757425,170.76131003790107,162.46182358263457,169.9945084491566,170.12404189161407,161.85552848491056,143.83413556902516,26.994508449156598,18.855528484910565,0.8341355690251646,27.12404189161407,18.877278635773845,13.185684255182212,0.5833115867308843,18.967861462667184,19.322581381638116,13.609666841003193,0.960086907899885,19.41350352300774
244,undistorted_GX010194_17_257.jpg,1,square,no,180.0,"[422.4698795180723, 209.93975903614455]",1823.2249629830517,1823.612548828125,1688.2493802753197,1825.490610767418,193.21847769235845,192.97867091751104,193.01969481898632,178.69222295519404,192.25848927998882,192.299360083402,178.02535724859288,192.49740111429708,12.258489279988822,1.9746427514071172,12.497401114297077,12.299360083402007,6.810271822216013,1.0970237507817318,6.943000619053931,6.832977824112227,7.210372731950578,0.7265428026699775,7.343598717976915,7.233163788325735
245,undistorted_GX010194_18_272.jpg,0,square,no,180.0,"[431.92771084337346, 248.433734939759]",1895.1100631777667,1894.8743896484375,1699.0689950675933,1842.4691394973215,195.0155647084723,200.58732666542883,200.56238187508,179.8374216689261,199.83875010669684,199.81389840839734,179.1662821683299,194.28778153913908,19.838750106696835,0.8337178316700999,14.287781539139075,19.813898408397336,11.021527837053798,0.4631765731500555,7.937656410632819,11.00772133799852,11.437403703016018,0.090321295041049,8.341980393595728,11.42354548615556
246,undistorted_GX010194_18_272.jpg,1,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,undistorted_GX010194_18_272.jpg,2,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,undistorted_GX010194_18_272.jpg,3,square,no,143.0,"[220.1302622599774, 142.44133271366715]",1494.7837040879315,1494.9725341796875,936.8343503522914,1373.3929517803708,151.34030295626954,164.71689208649656,164.737700117626,103.23396098571861,164.10218124562272,164.12291162277177,102.84869974043634,150.7755125227571,21.102181245622717,40.151300259563655,7.775512522757111,21.122911622771767,14.756770101834068,28.07783234934521,5.437421344585393,14.771266869071164,15.186637822724865,27.80841889110587,5.832379689698978,15.201188893444748
249,undistorted_GX010194_19_285.jpg,0,square,no,180.0,"[448.433734939759, 283.91566265060237]",1778.3899352989674,1778.461669921875,1748.9973013129552,1729.688934461917,183.07837949248696,188.2331215592639,188.24071428779084,185.12206748938925,187.5306499489251,187.53821434197,184.43120609485206,182.39514498521763,7.530649948925088,4.431206094852058,2.3951449852176268,7.53821434196999,4.1836944160694935,2.461781163806699,1.3306361028986815,4.187896856649995,4.573956421813281,2.8455930496606956,1.7102108291594218,4.578174604328243
250,undistorted_GX010194_19_285.jpg,1,square,no,143.0,"[234.26726927240207, 178.3035168015813]",1439.2544510062185,1440.22265625,1417.648747045614,1437.698007232395,158.4263642041544,158.5978756947001,158.7045665545358,156.2170466837877,158.0060005549124,158.11229325262076,155.63405661574177,157.83512913212923,15.00600055491239,12.63405661574177,14.835129132129225,15.11229325262076,10.493706681756915,8.835004626392847,10.374216176314144,10.568037239594936,10.907605380909157,9.242689988662717,10.787667275632446,10.982214373801261
251,undistorted_GX010194_19_285.jpg,2,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,undistorted_GX010194_19_285.jpg,3,square,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,undistorted_GX010194_20_299.jpg,0,square,no,143.0,"[249.96626153049698, 208.52200795368975]",1437.6981323917876,1437.4718017578125,1430.6128092534332,1328.0000000000002,146.33825087378645,158.42637799602682,158.40143761267208,157.6456145962208,157.83514287253143,157.81029556477952,157.05729322200725,145.7921277160025,14.835142872531435,14.057293222007246,2.7921277160025113,14.810295564779523,10.374225784987019,9.830274980424647,1.9525368643374206,10.356850045300366,10.787676920298473,10.241688528825742,2.334441170480035,10.770236092777681
