image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length
colored_undistorted_GX010191_48_515,small,143.1,39.4,5042.0,2509.2,736.5,202.8
colored_undistorted_GX010191_49_523,big,171.7,42.9,3949.8,2381.1,905.6,226.0
colored_undistorted_GX010191_50_529,big,184.3,43.2,4264.5,2399.9,970.0,227.2
colored_undistorted_GX010191_51_535,big,168.3,42.0,4365.0,2138.1,883.9,220.5
colored_undistorted_GX010191_52_541,big,168.9,42.5,4603.2,2009.9,886.4,223.0
colored_undistorted_GX010191_5_190,big,166.6,42.7,3716.5,597.2,888.7,227.5
colored_undistorted_GX010191_6_219,big,168.7,42.1,3860.6,1078.7,899.4,224.3
colored_undistorted_GX010191_7_260,small,140.6,32.2,2862.1,814.6,718.7,164.6
colored_undistorted_GX010191_88_1016,big,168.4,46.1,3235.2,568.0,897.0,245.7
colored_undistorted_GX010191_89_1024,big,188.8,52.7,3196.1,682.9,1003.0,279.9
colored_undistorted_GX010191_8_309,small,135.7,28.2,2897.5,1426.5,693.7,144.0
colored_undistorted_GX010191_90_1036,big,184.7,51.3,3204.0,858.8,978.5,271.6
colored_undistorted_GX010191_91_1066,big,178.5,212.8,45.2,1134.1,951.4,1135.0
colored_undistorted_GX010191_92_1087,big,185.7,51.4,3362.5,1440.1,981.8,271.5
colored_undistorted_GX010191_93_1112,big,177.1,50.2,3577.1,1666.2,938.3,265.7
colored_undistorted_GX010191_93_1112,small,155.1,41.5,3443.4,294.2,792.5,212.1
colored_undistorted_GX010191_94_1132,big,170.5,47.3,3762.1,1881.9,903.9,250.6
colored_undistorted_GX010191_94_1132,small,153.5,38.9,3475.1,509.6,782.8,198.4
colored_undistorted_GX010191_95_1157,big,168.8,43.6,4063.7,1825.4,898.7,232.3
colored_undistorted_GX010191_95_1157,small,155.6,39.5,3373.8,638.5,792.1,201.3
colored_undistorted_GX010191_96_1175,big,170.1,43.8,4319.3,1599.1,906.9,233.4
colored_undistorted_GX010191_96_1175,small,130.4,27.6,3254.8,642.4,665.9,140.6
colored_undistorted_GX010191_97_1190,big,161.5,42.5,4480.2,1289.8,859.7,226.5
colored_undistorted_GX010191_97_1190,small,143.3,30.9,3207.4,759.8,733.0,158.0
colored_undistorted_GX010191_98_1211,big,178.6,46.8,4651.7,1018.8,945.7,247.9
colored_undistorted_GX010191_98_1211,small,147.3,33.5,3193.8,873.3,757.2,172.3
colored_undistorted_GX010191_99_1233,small,151.0,31.9,3023.9,1107.6,779.5,164.5
colored_undistorted_GX010191_9_346,small,133.5,30.1,3091.5,1899.6,685.4,154.3
colored_undistorted_GX010192_17_1035,small,141.6,13.7,172.1,1152.8,1274.3,121.7
colored_undistorted_GX010192_29_1662,small,134.4,16.7,199.6,1250.9,1208.9,148.5
colored_undistorted_GX010192_9_675,small,135.0,36.2,2879.1,1710.1,1200.4,321.7
colored_undistorted_GX010193_16_1232,small,143.7,40.3,3471.0,2210.0,1292.8,362.3
colored_undistorted_GX010193_17_1264,small,135.6,34.0,3036.3,1592.6,1223.6,306.9
colored_undistorted_GX010193_18_1289,small,145.1,38.3,2422.5,1237.6,1305.9,345.2
colored_undistorted_GX010193_19_1334,small,140.4,38.2,1596.0,1137.6,1251.7,340.3
colored_undistorted_GX010193_27_1553,small,138.6,38.6,3574.2,1092.4,1236.6,344.0
colored_undistorted_GX010193_28_1584,small,149.7,40.5,2880.7,809.1,1347.3,364.4
colored_undistorted_GX010193_7_360,small,144.6,36.7,2602.1,2277.9,1283.6,325.6
colored_undistorted_GX010194_37_496,small,124.3,32.4,2385.9,1300.4,1122.0,292.3
colored_undistorted_GX010194_6_845,small,148.4,0.0,0.0,0.0,1338.8,0.0
