image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length,sample_id,filepath,tags,detections.label,labels,diff_big,diff_small,new_class
undistorted_GX010194_20_299,small,133.9,32.1,2008.1,1828.9,1203.2,288.2,{'$oid': '68736034b54ea3950eac71da'},data/undistorted_GX010194_20_299.jpg,Square|small mpe10<x<20|1_low_visibility_keypoints|good,low_visibility_prawn|small_prawn,eyes|low_visibility_prawn|rostrum|small_prawn|start_carapace|tail,46.099999999999994,11.099999999999994,small
undistorted_GX010194_19_285,small,133.1,30.3,1929.2,1517.4,1194.4,272.2,{'$oid': '68736034b54ea3950eac71d5'},data/undistorted_GX010194_19_285.jpg,Square|shai_measured|shai_measurements_1|1_low_visibility_keypoints|small mpe10<x<20|good,1279.162|low_visibility_prawn|small_prawn,1279.162|eyes|low_visibility_prawn|rostrum|small_prawn|start_carapace|tail,46.900000000000006,11.900000000000006,small
undistorted_GX010194_18_272,big,182.2,42.7,3545.6,2066.1,1725.5,404.6,{'$oid': '68736034b54ea3950eac71cd'},data/undistorted_GX010194_18_272.jpg,Square|big mpe<5|small mpe10<x<20|good,big_prawn|small_prawn,big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,2.1999999999999886,37.19999999999999,big
undistorted_GX010194_18_272,small,134.8,30.4,1833.6,1251.4,1208.1,272.7,{'$oid': '68736034b54ea3950eac71cd'},data/undistorted_GX010194_18_272.jpg,Square|big mpe<5|small mpe10<x<20|good,big_prawn|small_prawn,big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,45.19999999999999,10.199999999999989,small
undistorted_GX010194_17_257,small,136.0,32.3,1749.1,879.8,1220.8,289.7,{'$oid': '68736034b54ea3950eac71c8'},data/undistorted_GX010194_17_257.jpg,Square|big mpe<5|small mpe10<x<20|good,big_prawn|small_prawn,big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,44.0,9.0,small
undistorted_GX010194_17_257,big,179.5,42.7,3437.9,1756.8,1698.9,404.1,{'$oid': '68736034b54ea3950eac71c8'},data/undistorted_GX010194_17_257.jpg,Square|big mpe<5|small mpe10<x<20|good,big_prawn|small_prawn,big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,0.5,34.5,big
undistorted_GX010194_15_231,big,169.9,43.4,3810.8,1554.7,1598.1,407.6,{'$oid': '68736034b54ea3950eac71bc'},data/undistorted_GX010194_15_231.jpg,Square|big mpe5<x<10|good,big_prawn,big_prawn|eyes|rostrum|start_carapace|tail,10.099999999999994,24.900000000000006,big
undistorted_GX010193_7_360,small,128.6,32.2,2435.9,2306.5,1141.9,285.9,{'$oid': '68736034b54ea3950eac71b9'},data/undistorted_GX010193_7_360.jpg,Square|shai_measured|shai_measurements_1|small mpe10<x<20|good,1295.191|small_prawn,1295.191|eyes|rostrum|small_prawn|start_carapace|tail,51.400000000000006,16.400000000000006,small
undistorted_GX010193_5_305,small,137.5,36.6,2077.0,1041.5,1221.0,325.1,{'$oid': '68736034b54ea3950eac71b3'},data/undistorted_GX010193_5_305.jpg,Square|big mpe<5|small mpe10<x<20|good,big_prawn|small_prawn,big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,42.5,7.5,small
undistorted_GX010193_5_305,big,193.0,46.0,3617.5,1885.5,1821.8,434.4,{'$oid': '68736034b54ea3950eac71b3'},data/undistorted_GX010193_5_305.jpg,Square|big mpe<5|small mpe10<x<20|good,big_prawn|small_prawn,big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,13.0,48.0,big
undistorted_GX010193_28_1584,small,143.6,31.7,2874.9,752.5,1292.7,285.8,{'$oid': '68736034b54ea3950eac71a8'},data/undistorted_GX010193_28_1584.jpg,Square|shai_measured|shai_measurements_2|small mpe5<x<10|good,1371.948|1713.168|small_prawn,1371.948|1713.168|eyes|rostrum|small_prawn|start_carapace|tail,36.400000000000006,1.4000000000000057,small
undistorted_GX010193_27_1553,small,136.1,33.0,3619.4,1004.6,1217.1,295.1,{'$oid': '68736034b54ea3950eac719f'},data/undistorted_GX010193_27_1553.jpg,Square|shai_measured|shai_measurements_2|small mpe10<x<20|1_low_visibility_keypoints|good,1418.737|1766.071|low_visibility_prawn|small_prawn,1418.737|1766.071|eyes|low_visibility_prawn|rostrum|small_prawn|start_carapace|tail,43.900000000000006,8.900000000000006,small
undistorted_GX010193_26_1530,big,177.6,0.0,0.0,0.0,1688.8,0.0,{'$oid': '68736034b54ea3950eac7194'},data/undistorted_GX010193_26_1530.jpg,Square|big mpe5<x<10|small mpe5<x<10|3_low_visibility_keypoints|3_low_visibility_keypoints|good,big_prawn|low_visibility_prawn|small_prawn,big_prawn|eyes|low_visibility_prawn|rostrum|small_prawn|start_carapace|tail,2.4000000000000057,32.599999999999994,big
