image_name,BX,BY,Width,Height,Length,lobster_size,total_length,pixels_total_length,length_diff,is_big,is_small,real_length,real_length_abs_diff,real_length_rel_diff,pixel_abs_diff,pixel_rel_diff
undistorted_GX010191_37_1242,2764,948,221,685,718.51,small,139.2,719.0,0.4900000000000091,False,True,145,5.800000000000011,4.000000000000008,0.4900000000000091,0.06819668480605824
undistorted_GX010191_8_309,2456,1376,733,297,789.582,small,154.8,790.1,0.5180000000000291,False,True,145,9.800000000000011,6.75862068965518,0.5180000000000291,0.06560433241892914
undistorted_GX010191_32_305,2516,1328,741,277,789.795,small,154.2,786.3,3.4950000000000045,False,True,145,9.199999999999989,6.344827586206889,3.4950000000000045,0.44251989440297856
undistorted_GX010193_11_1065,2152,1256,973,1445,1740.667,big,184.3,1745.4,4.733000000000175,False,False,180,4.300000000000011,2.388888888888895,4.733000000000175,0.2719072631353484
undistorted_GX010191_100_1250,2776,1088,137,721,732.732,small,143.0,739.4,6.668000000000006,False,True,145,2.0,1.3793103448275863,6.668000000000006,0.910018942805829
undistorted_GX010193_27_1553,1672,108,253,1749,1766.071,big,186.6,1774.1,8.028999999999996,True,False,180,6.599999999999994,3.6666666666666634,8.028999999999996,0.45462498393326184
undistorted_GX010194_39_513,2436,1320,33,1309,1308.391,small,144.1,1300.3,8.091000000000122,False,False,145,0.9000000000000057,0.6206896551724177,8.091000000000122,0.6183931256023713
undistorted_GX010191_94_1132,3052,368,777,273,822.289,big,156.7,832.0,9.711000000000013,True,False,180,23.30000000000001,12.94444444444445,9.711000000000013,1.1809716535184118
undistorted_GX010191_35_1167,2844,644,761,125,770.049,small,149.2,759.4,10.649000000000001,False,True,145,4.199999999999989,2.896551724137923,10.649000000000001,1.38289901032272
undistorted_GX010191_31_283,3776,1492,105,941,945.736,big,174.8,931.8,13.936000000000035,True,False,180,5.199999999999989,2.8888888888888826,13.936000000000035,1.4735613321265169
undistorted_GX010191_42_1339,3728,1880,597,417,726.823,small,138.2,708.1,18.722999999999956,False,True,145,6.800000000000011,4.689655172413801,18.722999999999956,2.576005437362323
undistorted_GX010191_35_367,4092,1392,793,481,926.102,big,171.6,905.3,20.80200000000002,True,False,180,8.400000000000006,4.66666666666667,20.80200000000002,2.246188864725486
undistorted_GX010191_28_230,2348,240,725,345,801.568,small,152.7,778.6,22.96799999999996,False,True,145,7.699999999999989,5.310344827586199,22.96799999999996,2.8653838476585847
undistorted_GX010191_34_350,4072,1652,601,741,952.68,big,175.4,928.9,23.779999999999973,True,False,180,4.599999999999994,2.5555555555555522,23.779999999999973,2.4961162195070723
undistorted_GX010191_88_1016,3104,12,265,1005,1038.129,big,190.4,1014.3,23.82899999999995,False,False,180,10.400000000000006,5.777777777777781,23.82899999999995,2.2953794759610755
undistorted_GX010191_17_509,4500,2340,473,525,705.238,small,142.3,730.9,25.66199999999992,False,True,145,2.6999999999999886,1.8620689655172336,25.66199999999992,3.6387715920015538
undistorted_GX010191_105_1312,2920,2156,685,121,694.447,small,141.4,720.3,25.852999999999952,False,True,145,3.5999999999999943,2.4827586206896513,25.852999999999952,3.722818300028649
undistorted_GX010191_37_1242,3780,608,869,461,982.356,big,181.3,956.2,26.15599999999995,True,False,180,1.3000000000000114,0.7222222222222285,26.15599999999995,2.662578535683596
undistorted_GX010191_36_1195,2872,548,589,497,769.259,small,144.8,740.6,28.658999999999992,False,True,145,0.19999999999998863,0.1379310344827508,28.658999999999992,3.7255332729288826
undistorted_GX010191_47_507,3184,2032,457,745,872.624,big,170.3,905.0,32.375999999999976,True,False,180,9.699999999999989,5.388888888888883,32.375999999999976,3.7101890390362833
undistorted_GX010193_18_1289,2068,552,521,1249,1352.0,small,145.8,1312.1,39.90000000000009,False,False,145,0.8000000000000114,0.5517241379310424,39.90000000000009,2.9511834319526695
undistorted_GX010191_114_1383,4616,104,261,773,814.607,small,149.5,772.3,42.307000000000016,False,True,145,4.5,3.103448275862069,42.307000000000016,5.193547317909129
undistorted_GX010191_8_309,3860,1736,157,901,913.42,big,179.7,958.2,44.780000000000086,True,False,180,0.30000000000001137,0.16666666666667299,44.780000000000086,4.902454511615695
undistorted_GX010191_34_350,2796,1692,489,533,721.92,small,149.3,766.8,44.879999999999995,False,True,145,4.300000000000011,2.965517241379318,44.879999999999995,6.216755319148936
undistorted_GX010191_35_367,3064,1704,253,661,706.473,small,146.1,752.7,46.22700000000009,False,True,145,1.0999999999999943,0.7586206896551685,46.22700000000009,6.543349852011343
undistorted_GX010191_28_230,3828,660,181,1009,1023.945,big,201.1,1072.3,48.354999999999905,True,False,180,21.099999999999994,11.722222222222218,48.354999999999905,4.7224216144421725
undistorted_GX010191_34_1128,3404,1416,561,769,950.486,big,169.7,900.2,50.285999999999945,True,False,180,10.300000000000011,5.7222222222222285,50.285999999999945,5.290556620507818
undistorted_GX010191_38_1266,2768,1296,77,713,716.045,small,150.7,767.3,51.254999999999995,False,True,145,5.699999999999989,3.931034482758613,51.254999999999995,7.158069674391972
undistorted_GX010191_17_509,3220,2060,477,737,876.511,big,174.9,928.0,51.48900000000003,True,False,180,5.099999999999994,2.83333333333333,51.48900000000003,5.8743130434187405
undistorted_GX010191_41_1322,2628,764,117,953,959.041,big,169.0,901.2,57.84100000000001,True,False,180,11.0,6.111111111111111,57.84100000000001,6.0311290132538655
