image_name,target_confidence,object_confidence,object_poses,detection,which
undistorted_GX010191_10_370,0.79,0.798211,"[0.260583, 0.257739, 0.998542, 0.268772, 0.297087, 0.999322, 0.274108, 0.329275, 0.996794, 0.25699, 0.192869, 0.798211]",0 0.265625 0.270833 0.046875 0.158333 0.260583 0.257739 0.998542 0.268772 0.297087 0.999322 0.274108 0.329275 0.996794 0.25699 0.192869 0.798211,small
undistorted_GX010191_6_219,0.64,0.648336,"[0.291946, 0.190693, 0.998661, 0.285141, 0.183521, 0.999244, 0.279616, 0.18255, 0.995728, 0.303288, 0.207267, 0.648336]",0 0.288281 0.198611 0.0609375 0.0638889 0.291946 0.190693 0.998661 0.285141 0.183521 0.999244 0.279616 0.18255 0.995728 0.303288 0.207267 0.648336,big
