global_idx;file_name;frame_index;blur_score;is_blurry;is_black;last_frame_index;similarity_score;is_similar;written
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;33;241,24513131248824;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;34;276,32087624655526;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;35;266,3871442357475;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;36;249,49299986165383;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;37;241,89734698720486;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;38;248,91951932131366;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;39;246,75883499882966;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;40;281,7240699189311;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;41;313,7067513204562;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;42;371,23911102659054;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;43;329,0462610547467;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;44;386,43720256435023;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;45;565,5066388142897;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;46;511,845945266538;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;47;436,31910376652553;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;48;401,3234195548428;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;49;527,6855809988334;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;50;531,0620819138834;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;51;649,0465759648803;True;;;;;
1;C:\Users\gbo10\Dropbox\research videos\focal length calibration\GX010226_wby2Q0Mm2dynp_0_1724054047105,MP4;52;1090,521437645429;False;;52;70,91943359375;False;True
