Category,Signed Pixel Error (%),Signed Measurement Error (%),Net Error (%),MAE (mm),MAPE (%),Effect,Count
Circle_big,-6.01,-5.66,-11.67,14.30,7.95,Compound,58
Circle_small,-1.41,-1.28,-2.69,7.70,5.31,Compound,40
Square_big,-2.96,-1.84,-4.80,6.20,3.44,Compound,3
Square_small,-7.06,-5.33,-12.39,9.36,6.45,Compound,13
