image_name,center_x,center_y,start_carapace_x,start_carapace_y,eyes_x,eyes_y,rostrum_x,rostrum_y,tail_x,tail_y,index,pond_type,manual_size,calculated_total_length_mm,real_length,individual_mae,individual_mape,total_length_pixels,shai_length,pixel_difference_pct,measurement_difference_pct,scale_impact_ratio_rho,shai_iou
undistorted_GX010191_100_1250.jpg,0.79011025,0.28110525,0.787944,0.26995,0.821034,0.306675,0.84668,0.345609,0.704783,0.202187,8,Circle,big,164.66392728325908,180,15.336072716740915,8.520040398189398,867.0641107774891,1016.921,14.73633539109832,8.520040398189398,0.5781654781918197,0.6129162494401258
undistorted_GX010191_100_1250.jpg,0.79011025,0.28110525,0.787944,0.26995,0.821034,0.306675,0.84668,0.345609,0.704783,0.202187,44,Circle,small,142.96076043130563,145,2.03923956869437,1.4063721163409448,739.3980623068493,732.732,0.9097544950745038,1.4063721163409448,1.5458809205727209,0.2449781607121193
undistorted_GX010191_100_1250.jpg,0.539348,0.45865625,0.537236,0.473996,0.545478,0.409881,0.55203,0.354434,0.522648,0.596314,8,Circle,big,164.66392728325908,180,15.336072716740915,8.520040398189398,867.0641107774891,1016.921,14.73633539109832,8.520040398189398,0.5781654781918197,0.6129162494401258
undistorted_GX010191_100_1250.jpg,0.539348,0.45865625,0.537236,0.473996,0.545478,0.409881,0.55203,0.354434,0.522648,0.596314,44,Circle,small,142.96076043130563,145,2.03923956869437,1.4063721163409448,739.3980623068493,732.732,0.9097544950745038,1.4063721163409448,1.5458809205727209,0.2449781607121193
undistorted_GX010191_101_1265.jpg,0.7366465,0.20678074999999999,0.728523,0.208439,0.769462,0.209964,0.80286,0.211005,0.645741,0.197715,12,Circle,big,159.315497672449,180,20.684502327551,11.49139018197278,835.5602949616406,993.161,15.868595830722246,11.49139018197278,0.7241592327737645,0.1445063125747327
undistorted_GX010191_105_1312.jpg,0.525272,0.307343,0.523473,0.313115,0.544764,0.252077,0.56329,0.201721,0.469561,0.462459,5,Circle,big,174.22967657401466,180,5.770323425985339,3.205735236658522,924.5899460049028,992.677,6.858933368567732,3.205735236658522,0.467381014568441,0.509707640458371
undistorted_GX010191_105_1312.jpg,0.525272,0.307343,0.523473,0.313115,0.544764,0.252077,0.56329,0.201721,0.469561,0.462459,42,Circle,small,141.36395632455702,145,3.636043675442977,2.507616327891708,720.2902157549067,694.447,3.721409373920074,2.507616327891708,0.6738351188840653,0.3065104808098847
undistorted_GX010191_105_1312.jpg,0.601622,0.7363587500000001,0.610453,0.738066,0.576995,0.725029,0.543796,0.711583,0.675244,0.770757,5,Circle,big,174.22967657401466,180,5.770323425985339,3.205735236658522,924.5899460049028,992.677,6.858933368567732,3.205735236658522,0.467381014568441,0.509707640458371
undistorted_GX010191_105_1312.jpg,0.601622,0.7363587500000001,0.610453,0.738066,0.576995,0.725029,0.543796,0.711583,0.675244,0.770757,42,Circle,small,141.36395632455702,145,3.636043675442977,2.507616327891708,720.2902157549067,694.447,3.721409373920074,2.507616327891708,0.6738351188840653,0.3065104808098847
undistorted_GX010191_106_1320.jpg,0.50341625,0.38311674999999995,0.504086,0.394128,0.509859,0.327943,0.512976,0.273078,0.486744,0.537318,18,Circle,big,150.42062603261687,180,29.579373967383138,16.432985537435073,801.7510026467779,964.697,16.890899147942005,16.432985537435073,0.972889920986668,0.3431580563436011
undistorted_GX010191_106_1320.jpg,0.6360105,0.75501825,0.637878,0.758575,0.628193,0.757995,0.620711,0.753738,0.65726,0.749765,18,Circle,big,150.42062603261687,180,29.579373967383138,16.432985537435073,801.7510026467779,964.697,16.890899147942005,16.432985537435073,0.972889920986668,0.3431580563436011
undistorted_GX010191_10_370.jpg,0.6161515,0.650228,0.613129,0.659153,0.626594,0.602526,0.640697,0.557746,0.584186,0.781487,21,Circle,big,144.6603256497641,180,35.339674350235896,19.63315241679772,762.6233591331093,939.191,18.79997155710508,19.63315241679772,1.0443181978846003,0.6171993740055675
undistorted_GX010191_10_370.jpg,0.6161515,0.650228,0.613129,0.659153,0.626594,0.602526,0.640697,0.557746,0.584186,0.781487,35,Circle,small,141.9885567325557,145,3.0114432674442924,2.07685742582365,732.8404299744321,696.161,5.268814250501277,2.07685742582365,0.3941792834366968,0.4117269660037729
undistorted_GX010191_10_370.jpg,0.86216075,0.52242525,0.858142,0.511855,0.88729,0.546879,0.911023,0.58709,0.792188,0.443877,21,Circle,big,144.6603256497641,180,35.339674350235896,19.63315241679772,762.6233591331093,939.191,18.79997155710508,19.63315241679772,1.0443181978846003,0.6171993740055675
undistorted_GX010191_10_370.jpg,0.86216075,0.52242525,0.858142,0.511855,0.88729,0.546879,0.911023,0.58709,0.792188,0.443877,35,Circle,small,141.9885567325557,145,3.0114432674442924,2.07685742582365,732.8404299744321,696.161,5.268814250501277,2.07685742582365,0.3941792834366968,0.4117269660037729
undistorted_GX010191_110_1355.jpg,0.571304,0.61914125,0.576801,0.626903,0.545786,0.584036,0.518733,0.542244,0.643896,0.723382,25,Circle,big,162.3959904117271,180,17.604009588272902,9.78000532681828,857.3142460310869,928.31,7.647849745118878,9.78000532681828,1.278791510392868,0.5690761685803443
undistorted_GX010191_110_1355.jpg,0.829102,0.5959405,0.828509,0.591027,0.823271,0.600718,0.819948,0.613251,0.84468,0.578766,25,Circle,big,162.3959904117271,180,17.604009588272902,9.78000532681828,857.3142460310869,928.31,7.647849745118878,9.78000532681828,1.278791510392868,0.5690761685803443
