image_name,BX,BY,Width,Height,Length,lobster_size,total_length,pixels_total_length,length_diff,is_big,is_small,real_length,real_length_abs_diff,real_length_rel_diff,pixel_abs_diff,pixel_rel_diff,BX_pred,BY_pred,Width_pred,Height_pred,rostrum_x_pred,rostrum_y_pred,tail_x_pred,tail_y_pred,rostrum_x_norm,rostrum_y_norm,tail_x_norm,tail_y_norm,rostrum_x_norm_ref,rostrum_y_norm_ref,tail_x_norm_ref,tail_y_norm_ref,pixels_total_length_pred,pixels_total_length_err,BX_err,BY_err,Width_err,Height_err
undistorted_GX010191_37_1242,2764,948,221,685,718.51,small,139.2,719.0,0.4900000000000091,False,True,145,5.800000000000011,4.000000000000008,0.4900000000000091,0.0681966848060582,323.428256,96.32861999999999,56.355008,109.07676000000001,365.6736,113.51628000000001,335.05536,194.55336,0.571365,0.315323,0.523524,0.540426,0.5713650000000001,0.3153230000000001,0.5235240000000001,0.5404260000000001,719.0159724185113,0.015972418511296382,2440.571744,851.67138,164.644992,575.92324
undistorted_GX010191_8_309,2456,1376,733,297,789.582,small,154.8,790.1,0.5180000000000291,False,True,145,9.800000000000011,6.75862068965518,0.5180000000000291,0.0656043324189291,288.69152,142.78266,117.26144,69.14268,386.60672,162.45828,298.6432,198.85068,0.604073,0.451273,0.46663,0.552363,0.6040730000000001,0.4512730000000001,0.46663000000000004,0.552363,790.1141232321046,0.014123232104566341,2167.30848,1233.21734,615.73856,227.85732000000002
undistorted_GX010191_32_305,2516,1328,741,277,789.795,small,154.2,786.3,3.4950000000000045,False,True,145,9.199999999999989,6.344827586206889,3.4950000000000045,0.4425198944029785,296.87968,143.54442,109.23584,63.8622,392.59072000000003,164.07324,302.43712,193.17311999999998,0.613423,0.455759,0.472558,0.536592,0.6134230000000002,0.455759,0.47255800000000003,0.536592,786.2897403707154,0.010259629284519178,2219.12032,1184.45558,631.76416,213.1378
undistorted_GX010193_11_1065,2152,1256,973,1445,1740.667,big,184.3,1745.4,4.733000000000175,False,False,180,4.300000000000011,2.388888888888895,4.733000000000175,0.2719072631353484,240.05888,132.90138000000002,152.80512,211.95972,373.99424000000005,327.91356,264.14528,148.59611999999998,0.584366,0.910871,0.412727,0.412767,0.584366,0.9108710000000001,0.41272700000000007,0.412767,1745.4001757683236,0.00017576832351551275,1911.94112,1123.09862,820.19488,1233.04028
undistorted_GX010191_100_1250,2776,1088,137,721,732.732,small,143.0,739.4,6.668000000000006,False,True,145,2.0,1.3793103448275863,6.668000000000006,0.910018942805829,319.303584,112.50647999999998,54.063552,108.25992,353.29920000000004,127.59624000000001,334.49472000000003,214.67304000000001,0.55203,0.354434,0.522648,0.596314,0.5520300000000001,0.3544340000000001,0.5226480000000001,0.5963140000000001,739.3980623068495,0.0019376931504666572,2456.6964159999998,975.49352,82.936448,612.74008
undistorted_GX010193_27_1553,1672,108,253,1749,1766.071,big,186.6,1774.1,8.028999999999996,True,False,180,6.599999999999994,3.6666666666666634,8.028999999999996,0.4546249839332618,184.26688000000001,0.8861400000000019,79.67104,245.763,234.7744,0.0,203.54496,211.4496,0.366835,0.0,0.318039,0.58736,0.366835,0.0,0.31803900000000007,0.5873600000000001,1774.0696417839304,0.03035821606954414,1487.7331199999999,107.11386,173.32896,1503.237
undistorted_GX010194_39_513,2436,1320,33,1309,1308.391,small,144.1,1300.3,8.091000000000122,False,False,145,0.9000000000000057,0.6206896551724177,8.091000000000122,0.6183931256023713,269.15561599999995,144.83429999999998,47.272128,181.69956,294.68544,316.12968,291.50848,159.50232,0.460446,0.878138,0.455482,0.443062,0.46044600000000013,0.8781380000000001,0.45548200000000005,0.44306200000000007,1300.2744867050487,0.025513294951224452,2166.844384,1175.1657,14.272128000000002,1127.30044
undistorted_GX010191_94_1132,3052,368,777,273,822.289,big,156.7,832.0,9.711000000000013,True,False,180,23.30000000000001,12.94444444444445,9.711000000000013,1.1809716535184118,413.4064,166.76442,75.1968,113.49036,426.85119999999995,267.15384,478.62847999999997,181.32119999999998,0.666955,0.742094,0.747857,0.50367,0.666955,0.7420940000000001,0.747857,0.50367,831.9949482819593,0.005051718040704145,2638.5936,201.23558,701.8032000000001,159.50964
undistorted_GX010191_35_1167,2844,644,761,125,770.049,small,149.2,759.4,10.649,False,True,145,4.199999999999989,2.896551724137923,10.649,1.38289901032272,340.8592,59.0202,99.65888,45.94176,436.30592,82.04436,344.99392,87.7572,0.681728,0.227901,0.539053,0.24377,0.6817280000000001,0.22790100000000002,0.539053,0.24377000000000001,759.3714355230854,0.028564476914539227,2503.1408,584.9798,661.34112,79.05824
undistorted_GX010191_31_283,3776,1492,105,941,945.736,big,174.8,931.8,13.936000000000035,True,False,180,5.199999999999989,2.888888888888882,13.936000000000035,1.4735613321265169,440.70899199999997,168.56442,34.838016,133.4898,463.77984,290.23272,451.72736,178.62192,0.724656,0.806202,0.705824,0.496172,0.724656,0.806202,0.705824,0.496172,931.755240382339,0.04475961766092951,3335.291008,1323.43558,70.16198399999999,807.5101999999999
