image_name,big_total_length,big_carapace_length,big_eye_x,big_eye_y,small_total_length,small_carapace_length,small_eye_x,small_eye_y,Big_pixels_total_length,Big_pixels_carapace_length,Small_pixels_total_length,Small_pixels_carapace_length
undistorted_GX010191_96_1175.jpg,188.1,42.6,4249.3,1592.5,,,,,954.7,203.9,,
undistorted_GX010191_98_1211.jpg,181.8,43.1,4627.3,1020.8,158.0,38.8,3189.8,877.0,922.6,206.1,789.7,196.9
undistorted_GX010191_99_1233.jpg,198.0,47.7,4379.5,941.3,166.1,39.8,3012.0,1138.9,1004.8,228.0,830.4,201.8
undistorted_GX010191_9_346.jpg,185.4,45.1,4417.4,2080.8,160.9,37.2,3108.2,1895.3,940.7,215.5,804.2,188.5
undistorted_GX010192_11_745.jpg,,,,,138.9,39.4,1562.9,856.8,,,1224.5,321.7
undistorted_GX010192_16_1005.jpg,,,,,142.2,38.8,2123.1,926.3,,,1253.4,316.6
undistorted_GX010192_19_1095.jpg,189.0,54.3,3079.1,1472.5,,,,,1710.5,443.3,,
undistorted_GX010192_26_1578.jpg,,,,,143.7,40.7,2338.8,1954.3,,,1266.3,332.3
undistorted_GX010192_3_263.jpg,,,,,144.6,40.6,986.7,1650.5,,,1274.2,331.5
undistorted_GX010192_8_593.jpg,,,,,133.3,32.7,3473.5,923.0,,,1175.2,267.4
undistorted_GX010193_10_1039.jpg,,,,,125.7,36.7,1081.5,2356.0,,,1107.9,299.8
undistorted_GX010193_11_1065.jpg,184.1,49.8,2679.6,2007.6,,,,,1666.4,406.6,,
undistorted_GX010193_12_1113.jpg,171.2,49.6,2703.7,1849.9,,,,,1549.8,404.8,,
undistorted_GX010193_14_1170.jpg,158.5,45.2,1855.5,2121.3,,,,,1434.3,369.3,,
undistorted_GX010193_16_1232.jpg,,,,,145.9,35.4,3489.9,2122.7,,,1285.4,289.0
undistorted_GX010193_17_1264.jpg,,,,,155.5,38.8,3004.5,1542.8,,,1370.5,317.2
undistorted_GX010193_18_1289.jpg,,,,,150.3,37.3,2346.8,1199.8,,,1324.4,304.6
undistorted_GX010193_19_1334.jpg,,,,,140.9,37.9,1565.7,1146.7,,,1242.1,309.3
undistorted_GX010193_20_1365.jpg,,,,,117.1,29.2,706.9,1453.7,,,1032.2,238.6
undistorted_GX010193_27_1553.jpg,,,,,143.8,37.9,3632.7,977.2,,,1267.5,309.9
undistorted_GX010193_28_1584.jpg,,,,,146.5,34.1,2855.8,772.0,,,1291.1,278.7
undistorted_GX010193_3_251.jpg,176.3,51.0,3279.1,600.6,,,,,1596.1,416.5,,
undistorted_GX010193_4_283.jpg,,,,,125.1,33.9,1829.6,520.2,,,1102.1,276.7
undistorted_GX010193_7_360.jpg,,,,,130.1,35.5,2440.6,2308.4,,,1146.5,289.8
undistorted_GX010194_17_257.jpg,,,,,152.0,38.0,1697.2,822.1,,,1339.8,310.2
undistorted_GX010194_18_272.jpg,,,,,139.4,35.8,1824.1,1237.0,,,1229.0,292.5
undistorted_GX010194_19_285.jpg,,,,,138.3,36.9,1905.9,1524.8,,,1218.4,301.2
undistorted_GX010194_20_299.jpg,,,,,141.2,35.9,1994.8,1762.1,,,1244.1,293.1
undistorted_GX010194_21_312.jpg,,,,,145.6,38.2,2045.9,1995.5,,,1283.5,312.2
undistorted_GX010194_26_373.jpg,,,,,135.4,36.7,1605.1,1825.0,,,1192.9,300.1
undistorted_GX010194_29_400.jpg,,,,,130.8,37.0,1725.1,1010.8,,,1152.6,302.1
undistorted_GX010194_2_285.jpg,,,,,138.3,36.9,1905.9,1524.8,,,1218.4,301.2
undistorted_GX010194_36_485.jpg,,,,,154.0,37.5,2380.5,913.2,,,1357.0,306.5
undistorted_GX010194_37_496.jpg,,,,,152.8,37.9,2401.4,1355.5,,,1346.4,309.9
undistorted_GX010194_38_504.jpg,,,,,139.0,34.0,2380.6,1667.0,,,1224.6,278.0
undistorted_GX010194_39_513.jpg,,,,,146.0,37.5,2394.4,2021.8,,,1286.5,306.0
undistorted_GX010194_3_360.jpg,,,,,140.9,35.5,1792.2,2009.8,,,1241.7,290.2
undistorted_GX010194_60_836.jpg,,,,,134.2,34.8,2931.3,653.6,,,1182.5,284.4
undistorted_GX010194_63_894.jpg,,,,,157.3,43.8,2135.9,771.0,,,1385.9,357.9
undistorted_GX010194_64_911.jpg,,,,,152.2,41.6,1853.2,897.8,,,1341.2,340.1
undistorted_GX010194_65_928.jpg,,,,,148.1,41.8,2094.8,969.7,,,1305.1,341.1
undistorted_GX010194_6_101.jpg,,,,,136.6,38.1,4497.1,496.3,,,1204.2,311.4
undistorted_GX010194_6_845.jpg,,,,,160.8,44.7,2847.5,730.0,,,1416.9,364.9
undistorted_GX010194_7_885.jpg,161.7,43.4,2253.3,704.6,,,,,1464.0,354.5,,
