image_name,prawn_id,meas_1,meas_2,meas_3,avg,std,dev_pct,flag
undistorted_GX010094_9_129.jpg_gamma_obj1_cropped0.409259_0.942629,1.jpg,737.5208,727.2008,711.8321,732.3608,2.8,OK,
,,,,,,,,
undistorted_GX010096_107_1571.jpg_gamma_obj1_cropped0.415727_0.621939,1.jpg,501.5277,506.1314,514.2344,503.8295,2.1,OK,
,,,,,,,,
undistorted_GX010097_105_1651.jpg_gamma_obj1_cropped0.511395_0.17872,1.jpg,826.7001,842.72,822.7958,834.71,1.4,OK,
,,,,,,,,
undistorted_GX010097_124_1870.jpg_gamma_obj1_cropped0.329382_0.313961,1.jpg,677.8141,664.7383,674.1313,671.2762,0.4,OK,
,,,,,,,,
undistorted_GX010097_32_528.jpg_gamma_obj1_cropped0.661415_0.316431,1.jpg,632.4555,637.9506,632.1527,635.2031,0.5,OK,
,,,,,,,,
undistorted_GX010097_60_1080.jpg_gamma_obj1_cropped0.359558_0.734083,1.jpg,538.4097,538.8024,538.4719,538.606,0,OK,
,,,,,,,,
undistorted_GX010102_50_1396.jpg_gamma_obj1_cropped0.381752_0.122268,1.jpg,544.5411,532.7814,527.5699,538.6612,2.1,OK,
,,,,,,,,
undistorted_GX010102_9_165.jpg_gamma_obj1_cropped0.448036_0.216305,1.jpg,508.4339,504.357,504.5017,506.3954,0.4,OK,
,,,,,,,,
undistorted_GX010105_28_816.jpg_gamma_obj1_cropped0.647012_0.216644,1.jpg,334.1856,340.507,345.3578,337.3463,2.4,OK,
,,,,,,,,
undistorted_GX010152_36_378.jpg_gamma_obj1_cropped0.118061_0.557063,1.jpg,762.4887,770.4557,776.7014,766.4722,1.3,OK,
,,,,,,,,
undistorted_GX010155_18_219.jpg_gamma_obj1_cropped0.348378_0.582551,1.jpg,961.1171,950.2847,934.2216,955.7009,2.2,OK,
,,,,,,,,
undistorted_GX010155_78_1170.jpg_gamma_obj1_cropped0.551046_0.11129899999999998,1.jpg,798.7953,796.2826,812.9268,797.539,1.9,OK,
,,,,,,,,
undistorted_GX010157_160_2259_obj1_cropped0.217388_0.101546,1.jpg,304.429,302.2003,302.3938,303.3146,0.3,OK,
,,,,,,,,
undistorted_GX010157_177_2665.jpg_gamma_obj1_cropped0.972023_0.741242,1.jpg,412.1614,407.7475,405.8004,409.9544,1,OK,
,,,,,,,,
undistorted_GX010161_54_676.jpg_gamma.jpg_gamma_obj1_cropped0.9713999999999999_0.225677,1.jpg,788.0634,798.2506,793.8388,793.157,0.1,OK,
,,,,,,,,
undistorted_GX010169_121_1249_obj1_cropped0.9767050000000002_0.0510036,1.jpg,357.1064,365.6569,352.1846,361.3817,2.5,OK,
,,,,,,,,
undistorted_GX010173_75_922.jpg_gamma_obj1_cropped0.947099_0.101711,1.jpg,418.5499,414.9904,412.656,416.7701,1,OK,
,,,,,,,,
undistorted_GX010173_75_922.jpg_gamma_obj6_cropped0.972103_0.144106,1.jpg,417.6039,419.6403,425.6395,418.6221,1.7,OK,
,,,,,,,,
undistorted_GX010177_232_3047_obj1_cropped0.447492_0.55022,1.jpg,417.0959,405.8041,415.318,411.45,0.9,OK,
,,,,,,,,
undistorted_GX010178_107_2118_obj1_cropped0.655757_0.413577,1.jpg,929.9849,946.3044,913.1594,938.1447,2.7,OK,
,,,,,,,,
undistorted_GX010178_114_2258_obj1_cropped0.04977009999999999_0.916547,1.jpg,461.0336,457.0963,457.5249,459.0649,0.3,OK,
,,,,,,,,
undistorted_GX010178_189_3987.jpg_gamma_obj1_cropped0.312475_0.136874,1.jpg,794.0995,810.1562,788.879,802.1278,1.7,OK,
,,,,,,,,
undistorted_GX010179_200_3927.jpg_gamma_obj1_cropped0.544078_0.267049,1.jpg,904.6237,903.356,890,903.9898,1.5,OK,
,,,,,,,,
undistorted_GX010179_88_1697.jpg_gamma_obj1_cropped0.825615_0.18001300000000003,1.jpg,705.6812,714.9189,709.9218,710.3001,0.1,OK,
,,,,,,,,
undistorted_GX010180_99_1788_obj1_cropped0.0512686_0.506643,1.jpg,684.155,684.781,694.0807,684.468,1.4,OK,
,,,,,,,,
undistorted_GX010180_99_1788_obj6_cropped0.905095_0.311129,1.jpg,395.4655,386.4195,400.02,390.9425,2.3,OK,
,,,,,,,,
undistorted_GX010181_101_1542_obj1_cropped0.0788849_0.175493,1.jpg,597.2336,588.5881,584.1515,592.9109,1.5,OK,
,,,,,,,,
undistorted_GX010183_128_2852.jpg_gamma_obj1_cropped0.10659999999999999_0.73272,1.jpg,643.0124,624.0008,650.0192,633.5066,2.6,OK,
,,,,,,,,
undistorted_GX010183_37_685.jpg_gamma_obj1_cropped0.8260990000000001_0.354157,1.jpg,765.6383,751.9362,769.6298,758.7872,1.4,OK,
,,,,,,,,
undistorted_GX010183_80_1633.jpg_gamma_obj1_cropped0.7766039999999998_0.23291300000000004,1.jpg,458.2685,453.4953,466.669,455.8819,2.4,OK,
