undistorted_GX010067_33_625.jpg_gamma_obj0_cropped0.600462_0.2647,1.jpg,755.619,737.1974,755.8307,746.4082,1.3,OK

undistorted_GX010068_26_666.jpg_gamma_obj0_cropped0.307077_0.799261,1.jpg,690.7156,678.1888,685.6238,684.4522,0.2,OK

undistorted_GX010068_27_795.jpg_gamma_obj0_cropped0.397364_0.694163,1.jpg,728.0172,731.2072,726.7379,729.6122,0.4,OK

undistorted_GX010069_19_191.jpg_gamma_obj0_cropped0.637446_0.168811,1.jpg,685.5217,682.2463,688.1075,683.884,0.6,OK

undistorted_GX010069_19_191.jpg_gamma_obj5_cropped0.9737460000000001_0.386026,1.jpg,910.2143,905.7174,917.8802,907.9658,1.1,OK

undistorted_GX010069_53_796.jpg_gamma_obj0_cropped0.82672_0.699938,1.jpg,879.3145,883.7749,885.244,881.5447,0.4,OK

undistorted_GX010071_22_444.jpg_gamma_obj0_cropped0.348194_0.224912,1.jpg,795.4496,810.9747,807.6435,803.2121,0.6,OK

undistorted_GX010073_42_695.jpg_gamma_obj0_cropped0.477886_0.603357,1.jpg,821.7177,814.6067,831.5768,818.1622,1.6,OK

undistorted_GX010073_55_1014.jpg_gamma_obj0_cropped0.305851_0.646811,1.jpg,545.8535,547.7299,556.5968,546.7917,1.8,OK

undistorted_GX010077_14_237.jpg_gamma_obj0_cropped0.444795_0.521214,1.jpg,717.0077,731.2072,712.4746,724.1074,1.6,OK

undistorted_GX010080_157_2283.jpg_gamma_obj0_cropped0.484674_0.458543,1.jpg,689.1415,695.4279,693.9395,692.2847,0.2,OK

undistorted_GX010080_157_2283.jpg_gamma_obj5_cropped0.558066_0.0813684,1.jpg,532.0686,533.526,540.249,532.7973,1.4,OK

undistorted_GX010080_193_2640.jpg_gamma_obj0_cropped0.302666_0.21123500000000003,1.jpg,751.4573,743.9274,760.1263,747.6923,1.7,OK

undistorted_GX010080_193_2640.jpg_gamma_obj5_cropped0.511306_0.663759,1.jpg,760.8679,751.2683,775.3502,756.0681,2.6,OK

undistorted_GX010080_212_2954.jpg_gamma_obj0_cropped0.45727500000000004_0.41336199999999995,1.jpg,737.7181,751.6515,728.1346,744.6848,2.2,OK

undistorted_GX010080_237_3366.jpg_gamma_obj0_cropped0.673871_0.3498629999999999,1.jpg,721.8379,722.0062,711.3761,721.9221,1.5,OK

undistorted_GX010080_237_3366.jpg_gamma_obj5_cropped0.279667_0.340296,1.jpg,482.1369,489.2525,496.9195,485.6947,2.3,OK

undistorted_GX010080_238_3392.jpg_gamma_obj0_cropped0.608277_0.630681,1.jpg,766.0418,764.2539,779.4819,765.1478,1.9,OK

undistorted_GX010080_238_3392.jpg_gamma_obj5_cropped0.153669_0.142633,1.jpg,768.1282,783.0926,774.6186,775.6104,0.1,OK

undistorted_GX010082_236_3137.jpg_gamma_obj0_cropped0.732077_0.556452,1.jpg,755.529,777.3416,781.3834,766.4353,2.0,OK

undistorted_GX010082_236_3137.jpg_gamma_obj5_cropped0.181078_0.861494,1.jpg,388.058,396.0025,393.117,392.0303,0.3,OK

undistorted_GX010082_53_796.jpg_gamma_obj0_cropped0.352716_0.58456,1.jpg,499.6849,493.3234,492.062,496.5042,0.9,OK

undistorted_GX010082_65_1070.jpg_gamma_obj0_cropped0.487806_0.214278,1.jpg,598.4814,596.021,602.8466,597.2512,0.9,OK

undistorted_GX010082_8_59.jpg_gamma_obj0_cropped0.741319_0.194645,1.jpg,721.9446,731.117,736.2201,726.5308,1.3,OK

undistorted_GX010082_8_59.jpg_gamma_obj5_cropped0.565303_0.635214,1.jpg,210.2974,205.2925,207.0411,207.7949,0.4,OK

undistorted_GX010084_130_1748.jpg_gamma_obj0_cropped0.425878_0.150282,1.jpg,700.6297,699.7142,707.3288,700.172,1.0,OK

undistorted_GX010084_167_2291.jpg_gamma_obj0_cropped0.518964_0.750556,1.jpg,807.62,818.0006,827.6146,812.8103,1.8,OK

undistorted_GX010084_30_344.jpg_gamma_obj0_cropped0.61008_0.44459,1.jpg,681.5424,678.852,660.7753,680.1972,2.9,OK

undistorted_GX010084_30_344.jpg_gamma_obj5_cropped0.21105199999999996_0.0952912,1.jpg,525.2828,518.3368,523.6506,521.8098,0.4,OK

undistorted_GX010085_261_3610.jpg_gamma_obj0_cropped0.7936910000000001_0.153409,1.jpg,820.1585,831.2521,817.7286,825.7053,1.0,OK

undistorted_GX010085_263_3738.jpg_gamma_obj0_cropped0.620592_0.102143,1.jpg,642.2741,661.4779,661,651.876,1.4,OK

undistorted_GX010085_263_3738.jpg_gamma_obj5_cropped0.23024_0.0563993,1.jpg,543.3599,532.2265,547.7682,537.7932,1.9,OK

undistorted_GX010088_209_2904.jpg_gamma_obj0_cropped0.648369_0.646694,1.jpg,715.2091,720.9882,704.1733,718.0986,1.9,OK

undistorted_GX010088_262_3712.jpg_gamma_obj0_cropped0.483077_0.7415270000000002,1.jpg,832.125,841.7553,849.2679,836.9401,1.5,OK

undistorted_GX010088_262_3712.jpg_gamma_obj5_cropped0.0465432_0.513782,1.jpg,486.2314,497.1448,488.1731,491.6881,0.7,OK

undistorted_GX010088_327_4364.jpg_gamma_obj0_cropped0.518134_0.604473,1.jpg,696.7639,703.7528,709.2672,700.2584,1.3,OK

undistorted_GX010089_11_236.jpg_gamma_obj0_cropped0.382488_0.357011,1.jpg,457.6505,470.5582,459.6662,464.1044,1.0,OK

undistorted_GX010090_132_1852.jpg_gamma_obj0_cropped0.593174_0.420704,1.jpg,790.8793,785.7544,798.9274,788.3168,1.3,OK

undistorted_GX010091_5_149.jpg_gamma_obj0_cropped0.0260803_0.107141,1.jpg,452.3052,447.8259,451.9203,450.0655,0.4,OK

undistorted_GX010091_5_149.jpg_gamma_obj5_cropped0.028696000000000003_0.940868,1.jpg,270.1481,264.849,261.3082,267.4986,2.3,OK

