Unnamed: 0,Label,PrawnID,Avg_Length,Std_Length,Uncertainty,Length_1,Length_2,Length_3,BoundingBox_1,BoundingBox_2,BoundingBox_3,Angle_1,Angle_2,Angle_3,Scale_1,Scale_2,Scale_3,Global_Uncertainty,combined_scale,Length_bounding_box_1_1,Length_bounding_box_1_2,Length_bounding_box_2_1,Length_bounding_box_2_2,Length_bounding_box_3_1,Length_bounding_box_3_2,Length_ground_truth_annotation(mm),Length_ground_truth_annotation_pixels,pred_Distance_pixels,combined_scale_ground,id,Length_fov(mm),Height(mm),focal_RealLength(cm),Length_1_pixels,Length_2_pixels,Length_3_pixels,Pond_Type,Euclidean_Distance,MPError_fov_min,MPError_fov_max,MPError_fov_median,AbsError_fov_min,AbsError_fov_max,AbsError_fov_median,AbsError_focal_min,AbsError_focal_max,AbsError_focal_median,MPError_focal_min,MPError_focal_max,MPError_focal_median,Error_distance_mm_ground_min,Error_distance_mm_ground_max,Error_distance_mm_ground_median,Error_percentage_distance_mm_ground_min,Error_percentage_distance_mm_ground_max,Error_percentage_distance_mm_ground_median,pose_eval_iou,choice,mean_scale,pred_scale,std_length,sem_length,annotation_length_1,annotation_length_2,annotation_length_3,MPE_length1,MPE_length2,MPE_length3,mean_annotation_length,mean_length,mean_pixels,diff_pixels,diff_mm,diff_scale
620,carapace:undistorted_GX010152_36_378.jpg_gamma,Prawn_1,41.07966666666667,1.889939916740447,1.091157319682316,40.593,43.599,39.047,"(3940.0163628, 2452.0128024, 60.9988407, 288.9998538)","(3960.0263064, 2454.019068, 43.0028934, 294.9986226)","(3971.9911275, 2453.9903937, 42.9961527, 295.0024374)",-78.232,-81.87,-81.87,72.471,68.118,76.059,0.2942581907953586,0.1180956948924032,295.3671851495446,295.3671851495446,298.116480887369,298.116480887369,298.1192835409052,298.1192835409052,27.37205170859694,231.624696438009,227.782402342067,0.1181741503800424,680e26b631403b86a91f0c50,26.90012108884737,415.0,27.41223547579536,294.1815303,296.9876682,296.9875773,square,227.782402342067,31.10835380734148,38.30105945354853,33.73211861934973,12.14687891115263,16.69887891115263,13.69287891115264,11.63476452420464,16.18676452420464,13.18076452420465,29.79682056036222,37.12645823116273,32.47053561994592,11.67494829140306,16.22694829140305,13.22094829140307,29.89973183958577,37.21862494874436,32.56952748356383,0.991792036883536,carapace_kalkar_mean,72.216,84.67709182041719,2.3146942202661087,1.336389331162309,31.96101839880904,34.00344937285431,30.4532923701349,33.73211861934972,38.30105945354853,31.108353807341476,32.13925338059942,41.07966666666667,296.0522586,68.26985625793301,14.179545577819297,12.461091820417195
621,carapace:undistorted_GX010152_36_378.jpg_gamma,Prawn_2,42.725,2.398529688510582,1.384791761320894,44.434,39.333,44.408,"(571.9991088, 1504.0051572, 37.0036926, 321.0030474)","(2682.0168258, 312.0008754, 223.0047084, 151.0039824)","(509.9984127, 1535.9962932, 73.0014282, 331.0011621)",-96.419,-145.954,-102.308,72.471,68.118,76.059,0.2942581907953586,0.1212039995345585,323.1288128689887,323.1288128689887,269.3200747609217,269.3200747609217,338.9557166220837,338.9557166220837,24.8526562444207,205.2437575177383,207.1700459313848,0.121088487878969,680e26b631403b86a91f0c4c,25.10983815064203,415.0,24.93166295644806,322.0176414,267.9285294,337.7628072,square,207.1700459313848,36.16088742114248,43.48958421334557,43.45649848981711,14.22316184935797,19.32416184935797,19.29816184935799,14.40133704355194,19.50233704355194,19.47633704355195,36.61387904190359,43.89057263256051,43.85772167976929,14.4803437555793,19.5813437555793,19.55534375557932,36.81474526626319,44.06837951924044,44.0356326688419,0.9984480805951531,carapace_kalkar_mean,72.216,82.50552818720088,2.9375869348838006,1.69601660762309,28.320812120398266,30.130620029616004,26.984808834948957,43.489584213345566,36.160887421142476,43.456498489817086,28.478746994987745,42.725,309.236326,102.06628006861521,17.61516184935797,10.289528187200887
748,carapace:undistorted_GX010157_160_2259,Prawn_1,37.69366666666667,1.003198329787727,0.5791968257535273,36.279,38.308,38.494,"(4856.0307005, 940.0062174999999, 161.0010255, 217.0020265)","(4878.028267199999, 954.0070649999999, 144.9988452, 241.0023132)","(4860.016389, 930.003564, 174.997524, 241.002795)",-126.529,-120.964,-125.942,74.095,73.062,77.01,0.2942581907953586,0.1208661325748483,270.2058654381104,270.2058654381104,281.2592755396422,281.2592755396422,297.8363319072116,297.8363319072116,19.33922769558482,159.5305613354382,216.726632501841,0.1212258487257563,680e26b631403b86a91f0db2,26.19490989646794,415.0,26.08174039316227,268.8092505,279.8859096,296.4422940000001,square,216.726632501841,27.79594284167718,31.95066790547115,31.62026235651054,10.08409010353207,12.29909010353206,12.11309010353206,10.19725960683774,12.41225960683773,12.22625960683773,28.10788502119059,32.24466048432933,31.91568238184642,16.93977230441518,19.15477230441518,18.96877230441517,46.69305191547502,49.76041020526622,49.51647777074025,0.9984498311992447,carapace_kalkar_mean,74.72233333333332,82.73616262030507,1.2286620093961267,0.7093683418679203,21.53054340177316,21.834956794973884,20.71556438585095,27.795942841677174,31.620262356510544,31.950667905471136,21.360354860865996,37.693666666666665,281.71248470000006,64.98585219815905,11.498756770198725,8.013829286971742
770,carapace:undistorted_GX010157_174_2582.jpg_gamma,Prawn_0,38.113,1.808988114941609,1.044419775122372,35.889,38.13,40.32,"(1515.9989163, 1871.9930766, 261.0010701, 33.0001353)","(1483.996528, 1871.9928094, 288.9972106, 37.0009598)","(1487.9989152, 1865.9996208, 288.9987408, 19.001304)",-7.017,-7.125,-3.576,72.993,76.118,71.568,0.2942581907953586,0.1223824675637406,263.0790138402595,263.0790138402595,291.3562402981992,291.3562402981992,289.6227231031536,289.6227231031536,21.51306442173573,175.641680702503,232.8157190855607,0.1224826836983755,680e26b631403b86a91f0c65,28.49256218931757,415.0,28.01796472607218,261.9645777,290.237934,288.562176,square,232.8157190855607,20.60920563593979,29.33392314157349,25.27521062334755,7.396437810682432,11.82743781068243,9.637437810682417,7.87103527392782,12.30203527392782,10.11203527392781,21.93160933413531,30.51100018335272,26.51989319152323,14.37593557826427,18.80693557826427,16.61693557826426,40.05666242654928,46.64418546196495,43.57968942634215,0.9946213288153957,carapace_kalkar_mean,73.55966666666666,81.71105060282994,2.215548916183074,1.2791477631610815,24.06281159871536,23.074920610434194,24.54192945206,20.60920563593979,25.275210623347576,29.333923141573486,23.893220553736516,38.113,280.2548959,47.43917681443932,9.620437810682429,8.151383936163285
918,carapace:undistorted_GX010174_62_790.jpg_gamma,Prawn_0,37.70966666666667,1.212265189176398,0.6999016333002058,38.404,36.005,38.72,"(3875.9813946, 1227.997269, 56.996622, 349.001055)","(3864.0150636, 1224.0024756, 57.00342240000001, 328.9988382)","(3850.0220289, 1221.0049763, 64.00095370000001, 340.0056231)",-80.858,-80.311,-79.472,91.782,92.418,89.051,0.2942581907953586,0.1052448569163172,353.6245909301613,353.6245909301613,333.9006224945718,333.9006224945718,345.9767995315999,345.9767995315999,22.61670211035588,214.7673159491451,256.7287776474496,0.1053079329617888,680e26b631403b86a91f0d47,27.01938346980686,370.0,27.54561449718693,352.4795928,332.7510090000001,344.805472,square,256.7287776474496,24.95657972557463,30.21853442715171,29.64435092748969,8.985616530193145,11.70061653019314,11.38461653019314,8.459385502813074,11.17438550281307,10.85838550281307,23.49502986477732,28.85946669114946,28.27410036145471,13.38829788964412,16.10329788964411,15.78729788964411,37.18455183903379,41.58909578937013,41.10847278836609,0.9932112525120168,carapace_kalkar_mean,91.08366666666666,95.01651950509319,1.4847155732103474,0.8572009358630237,23.39972063685092,23.23868899447565,24.117339047191507,29.644350927489693,24.956579725574617,30.2185344271517,23.585249559506025,37.70966666666667,343.3453579333334,86.6165802858838,10.69028319685981,3.932852838426527
1001,carapace:undistorted_GX010178_172_3604.jpg_gamma,Prawn_0,46.63933333333333,2.047092463851001,1.18188938506043,43.848,48.7,47.37,"(3575.9874654, 827.9953038000001, 305.0023032, 17.0024274)","(3563.9946252, 827.996967, 331.0017579, 25.002288)","(3587.9831712, 835.9979976, 316.996416, 1.00062)",-176.987,-175.84,180.0,69.426,67.941,66.708,0.2942581907953586,0.1343190071317528,305.4758378248548,305.4758378248548,331.9446913841599,331.9446913841599,316.9979952574297,316.9979952574297,33.44677236930205,249.0,243.3898915227279,0.1343243870253094,680e26b631403b86a91f0d70,32.69188857523784,455.0,32.11368343301653,304.4191248,330.87267,315.995796,square,243.3898915227279,25.44269162735395,32.8708653485876,30.98609124923404,11.15611142476216,16.00811142476216,14.67811142476216,11.73431656698347,16.58631656698347,15.25631656698347,26.76134958717266,34.05814490140342,32.20670586232524,10.40122763069795,15.25322763069795,13.92322763069795,23.72109932197123,31.32079595625862,29.39250080366889,0.9917415217972528,carapace_kalkar_mean,68.025,74.44962714912752,2.507165996365885,1.4475129629049202,35.86552588367471,36.649445842716474,37.326857348443966,25.44269162735395,32.8708653485876,30.986091249234025,36.61394302494505,46.63933333333333,317.09586360000003,73.70597207727212,13.947444758095493,6.424627149127517
1077,carapace:undistorted_GX010183_37_685.jpg_gamma,Prawn_2,39.201,2.80588952027695,1.619981069848247,38.939,35.903,42.761,"(1039.9968915, 2155.9928691, 181.0022403, 212.9988483)","(1062.0000839, 2172.0023122, 156.9979061, 211.0039617)","(1019.9987791, 2115.9907146, 212.9966139, 220.9989019)",-49.667,-53.393,-46.061,71.421,72.863,71.449,0.2942581907953586,0.131710670488715,279.5180143939661,279.5180143939661,263.003829578353,263.003829578353,306.9333350645893,306.9333350645893,14.80383637271972,112.7293800668222,178.0950315759534,0.1313218999691519,680e26b631403b86a91f0c2b,23.45701601957769,455.0,23.49845932072811,278.1062319,261.6000289,305.5230689,square,178.0950315759534,34.6655822087912,45.14390210804778,39.7595828871371,12.44598398042231,19.30398398042231,15.48198398042232,12.40454067927189,19.26254067927189,15.4405406792719,34.55015090458149,45.04698365162623,39.65315154285395,21.09916362728028,27.95716362728028,24.13516362728029,58.76713262758064,65.38005104483122,61.9819811173381,0.992354060276741,carapace_kalkar_mean,71.911,75.9239928161842,3.4364987996506,1.9840635070480996,15.783786290701922,15.471416228651332,15.77760081552187,39.759582887137086,34.665582208791214,45.143902108047776,15.677601111625043,39.201,281.7431099,103.64807832404657,15.74398398042231,4.012992816184195
